Walking,Medication,Yoga,Chiropractic,physical therapy,Vitamin d,Coenzyme q-10,Medications,Sleep,Dermatologist,neuro,counselor,Exercise,psychiatrists,row
,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,Walking
2.0,,0.0,2.0,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,Medication
2.0,0.0,,2.0,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,Yoga
0.0,2.0,2.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,Chiropractic
2.0,0.0,0.0,2.0,,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,physical therapy
0.0,2.0,2.0,0.0,2.0,,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,Vitamin d
0.0,2.0,2.0,0.0,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,Coenzyme q-10
2.0,0.0,0.0,2.0,0.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,Medications
,,,,,,,,,,,,,,Sleep
0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,Dermatologist
0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,,0.0,0.0,0.0,neuro
0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,0.0,,0.0,0.0,counselor
0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,Exercise
0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,psychiatrists
