Standing,In bed all day,Ballet,uneventful,Driving,tired,exhausted,Councillor,Thermoformer arrived,dining room,lots of standing,pain,cold,junk food,Dogs,ate breakfast,stuffy nose,painful,Relaxing,pretty good day,angry,tapering off gabapentin this week,strange day,Attended long ceremony,Dinner out,dairy,sick,Jen here tomorrow,Chest CT scan,gal meeting,lunch with sue,cancelled 1 of 2 meetings,boxing day,stressed,Bad sleep,High Pain,Cleaned house,out of the house,listen to music ,Company for dinner,went outside,tidying lab,Sun exposure,Houseguest,Exausted,Shannons ceremony,Quell Unit,aggitated,Thyroid-Pro,christmas eve,good sleep,bad sleep,walked,craving sugar,chilled with friends,still sore form osteo,exercise,Cleaned,med change,Out of plaquenil,row
,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,Standing
0.0,,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,In bed all day
2.0,2.0,,,0.0,,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,Ballet
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,uneventful
2.0,2.0,0.0,,,,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,Driving
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,tired
0.0,0.0,2.0,,2.0,,,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,exhausted
2.0,2.0,0.0,,0.0,,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,Councillor
2.0,2.0,0.0,,0.0,,2.0,0.0,,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,Thermoformer arrived
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,dining room
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,lots of standing
2.0,2.0,0.0,,0.0,,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,pain
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,cold
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,junk food
2.0,2.0,0.0,,0.0,,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,Dogs
2.0,2.0,0.0,,0.0,,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,2.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,ate breakfast
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,stuffy nose
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,painful
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,Relaxing
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,pretty good day
,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,angry
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,tapering off gabapentin this week
0.0,0.0,2.0,,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,strange day
