Yoga,hiking,gluten free diet,Fluvoxamine,Glutamine,drank alcohol,mountain biking,Exercise,Tyrosine,blueberries,spicy meal,advil,Methylphenidate,Ubiquinol,Topiramate,ate breakfast,Uncooked cornstarch,dairy,Plaquenil,bunny cuddles,Chiropractic,10K steps,Superlong nap,ate badly,Daytime nap,Voltaren,strawberries,Vitamin b6,Magnesium,Midodrine,peanuts,Tavegyl,crafting,Love,Duexis,Ultrasound,listen to music ,exercise,cocodamol,Ropinirole,row
,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,2.0,,2.0,,,0.0,2.0,0.0,0.0,2.0,,,,2.0,,,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,Yoga
2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,hiking
2.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,2.0,0.0,2.0,2.0,0.0,,,,0.0,,,0.0,0.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,gluten free diet
2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,2.0,0.0,2.0,2.0,0.0,,,,0.0,,,0.0,0.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,Fluvoxamine
,0.0,,,,,,,,0.0,0.0,0.0,,2.0,,2.0,2.0,,,,,,0.0,0.0,2.0,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,Glutamine
2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,0.0,,,2.0,0.0,2.0,2.0,0.0,,,,0.0,,,0.0,0.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,drank alcohol
2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,,,2.0,0.0,2.0,2.0,0.0,,,,0.0,,,0.0,0.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,mountain biking
2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,,,2.0,0.0,2.0,2.0,0.0,,,,0.0,,,0.0,0.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,Exercise
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,,,2.0,0.0,2.0,2.0,0.0,,,,0.0,,,0.0,0.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,Tyrosine
,0.0,,,0.0,,,,,,0.0,0.0,,2.0,,2.0,2.0,,,,,,0.0,0.0,2.0,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,blueberries
,0.0,,,0.0,,,,,0.0,,0.0,,2.0,,2.0,2.0,,,,,,0.0,0.0,2.0,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,spicy meal
,0.0,,,0.0,,,,,0.0,0.0,,,2.0,,2.0,2.0,,,,,,0.0,0.0,2.0,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,advil
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,2.0,0.0,2.0,2.0,0.0,,,,0.0,,,0.0,0.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,Methylphenidate
,2.0,,,2.0,,,,,2.0,2.0,2.0,,,,0.0,0.0,,,,,,2.0,2.0,0.0,,2.0,2.0,,,2.0,,,,2.0,,,,2.0,,Ubiquinol
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,,,2.0,0.0,2.0,2.0,0.0,,,,0.0,,,0.0,0.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,Topiramate
,2.0,,,2.0,,,,,2.0,2.0,2.0,,0.0,,,0.0,,,,,,2.0,2.0,0.0,,2.0,2.0,,,2.0,,,,2.0,,,,2.0,,ate breakfast
,2.0,,,2.0,,,,,2.0,2.0,2.0,,0.0,,0.0,,,,,,,2.0,2.0,0.0,,2.0,2.0,,,2.0,,,,2.0,,,,2.0,,Uncooked cornstarch
