Nasonex,Zofran,Pain management,Migraine Diet,Vitamin B,Codeine,Zoladex,Buspirone,Ventolin,Vitamin a,Spironolactone,DLPA,Iron,Soluble Aspirin,pur-absorb iron,Mirtazapine
,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
2.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0
0.0,2.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
0.0,2.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
0.0,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
2.0,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,2.0,0.0,0.0
2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,2.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,2.0,0.0,0.0
2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,0.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,
