Albuterol,8k steps,Vitamins,Cod liver oil,Caffeine,fuck yeah avocado,lots of desk work,blueberries,swam,vitamin D tablets,dairy,snuggles,Mt. Si ACDC 2x Coco Caps,sitting,Excedrin,10K steps,SPD alternative treatments,ate badly,Candy,psychologist,day at home,grilled cheese,Slept a lot,Physical therapy,Rest,Lidocaine Patch,cocodamol,masturbated,Low dose pain meds,bed day,Language Learning,Bicarb on scalp,bacon,b12 shot,Lots of kitty love,fast food,Charcoal,Probiotic Gummy,skipped meals,cooking,espresso,creative writing,exercise,Tetralabs Gold Caps CBN,Off work,BLT,Buffered Salmon Oil - DHA - EPA,very active aqua class,Quiet,5 or more portions of fruit and veg,Puppies,Sisu B Calm,WomenSense AdrenaSense Adrenal Formula,slept in,studied,Coffee with sugar and cream,fun shopping,drank wine,climbed stairs,new environment,popcorn,Curcumin,Onions,massage,Diazepam,didn't really eat lunch,Yoga,hiking,buses,potato curries,took nap,day after weights,slept >12 hrs,decent sleep,had sex,Went out on date,15K steps,music,ponstan,slept late,catered food,11k steps,Trigger Points,ZMA,training,Calcium citrate,soy or tofu main dish eaten,2K steps,bunny cuddles,Folic acid,rebounding,not great sleep,donut,Lots of travel,Meditation,ribs,TENS Unit,Pilates,Bunny snuggles,Migraine Diet,allergy shot,honey,drank alcohol,B12 timed release,LUSH acne spot-treatment,travel,ate little,gluten free,hot,Lazy day,no lunch,Tetralabs Gold Caps,Friends,pizza,gaming,Enada,Wore arch supports all day,ate eggs,Nasonex,Essential oils,heating pads,Wristies,D-Ribose,Azathioprine,long shopping  trip,Went out on adventures,mango,Late sleep,Trip,Ex bike,Slept,Fluids,Osteopathy,Naproxen,Amitriptyline,played video games,pur-absorb iron,snuggly cat,Daily walk,Vitamin D3,smoothie,met a new cat,little breakfast,N-acetyl cysteine,toast and vegg,woke up late,peanuts,holiday,coffee,Methylcobalamine,Weighted Blanket,Sulfasalazine,butternut squash risotto,Steps,party,Turmeric,read book,Flexeril,no activity,lifted weights,ate grains,12K Steps,Veggies,Corticosteroids,drank a lot,Topical ibuprofen,Prilosec,med long run,eating out,laundry,took a bath ,ice cream,ASMR,Relaxing,gardened,Zofran,Clinda-derm,Went to concert,Vitamin Gummies,Medical marijuana,wore bad shoes,Work,grapes,ate garlic,Tavegyl,got stuff done,Heathen ritual,Walking,Medication,slimfast,stir fry,Cymbalta,Late lunch,low protein,Swam,Iron,Contraceptive pill,Pedicure,Echinacea,shopped,Albuterol Inhaler,ironing,ate red meat,Extra Medications,trying to clean the house,Biosil,tough half marathon,washing up,ate pizza,Topiramate,Snooze,Psychotherapy,banana,rocky horror,Enbrel,gym,Ligament Restore,16K steps,stress,scary new shit,Deep rest,Mirtazapine,Weeded garden,Fresh air,magnesium ionic,Medical Marijuana,soft drink,Dicyclomine,marijuana,Lots of cleaning,Imodium,breakfast,lower dose of msm,150km yday,Cetirizine hydrochloride,Ibuprofen 600mg,advil,10 hours interrupted sleep,zoo,Achy breaky rub,Zopiclone,ate dairy,Tensor Band,flu vaccine injection,Seasonique,eggs,Awesome cheat day,exercised,lifting things,ate breakfast,heavy physcial exertion,Gluten,archery,grocery shopping,cough syrup,no gluten,Groceries,Fishing,bone broth,Paracetamol,Trazodone,Singing,pasta and veggies,Zantac,IVIG,crocheted,Went to a party,busy,Prednisone,excerise,Gym,Ativan,sugar,Buspirone,DLPA,Psyllium husk,rice,Dexedrine,Aloe Detox Water,ate gluten,THC,Swimming,Marijuana,Cane to get down stairs,took naps,AOR Zinc-Copper Balance,Shoe Insoles,Tretinoin,picnic,fresh food,hummus sandwich and salad,sex,baked a cake,spicy food,slept 7 hours,snack lunch,Strattera,Low oxalate,slept 12 hours,Synthroid,Vitamin B2,excedrin migraine,Biotin,yogurt,11 hours of sleep,Pet Therapy,Inderal,breathing exercises,Vitamin B,listen to music ,Probiotics,Pokemon go,5k steps,neck massage,Vitamin C,Cetirizine,Pain management,restaurant,Soy Sauce,Cranberry extract,Orgasm,Vitamin a,Diclofenac,Vitamin d,ate at a restaurant,Arby's,danced,physical therapy,avocado,hot water bottle,ice cream bar,acupuncture treatment,stretched,church,sugar yesterday,olives,lots of walking,vacation,Physio,Weather- rain,bbq,Paracatamol with codeine,shopping,alcohol yesterday,Zoladex,Rather bad sleep,worked,Indian food,canned vegetable beef soup,Gardening,grains,Sertraline,Ibuprofen,aqua therapy,Vacation,Nap,Alcohol yesterday,Ventolin,cooked breakfast,Hit 10k Steps,Took ibuprophen,Bunny cuddles,5-htp,had sex last night,kayaked yesterday,knitting,Ranitidine,Zyrtec,Codeine,Mixed nuts snack,Daytime nap,Spironolactone,had sex ,Migraine herb feverfew tablets,Corn on the cob,no breakfast,Lexam,1 slice of cheese ,catheter,caught pokemon,Snacks,nachos,smoked,Multi-vitamin,Phyical Therapy - stretches,Cannabis,juiced veggies,severe pain,Soluble Aspirin,Aspirin,family,broken sleep,housework,Clarithromycin,DEHA,L-theanine,cuddled kitten,Probiotic,Stretching,Shampoo,weekend shopping,blowjob,Magnesium,House cleaning,Flight,playing music,maple syrup,11K steps,home alone,spent day with others,Home physio exercises,gardening,Buteyko  breathing exercises ,Dancing,No sleep,Fentanyl,exercise - dancing,Beer,Vicodin,Acetaminophen,Coffee,pilates,Citalopram,MonoNessa,treadmill,Low-FODMAP diet,worked out,bubble and squeak roast,Kayaking,Slept well,Superlong nap,coco pops with rice milk,ate salsa,Anakinra,pasta,Maxalt,crafting,Thyroid-Pro,Zomig,cuddles!,flaxseed and fybogel,Vitamin b12,beans,Ate Terribly,Methotrexate,Probiotic Pearls,swimming,Omeprazole,Metformin,no sleep last night,1 slice of cheese,went swimming,watched tv,Therapy,pool,CoQ10,took sleeping pill,Morphine,gluten,did squats,benadryl ,strawberries,l-theanine,Tranexamic acid,Thyroid-Pro (CanPrev),Slept during day,heavy lifting,Aromatherapy,worked in garden,cake,ate a slice of cheese,Ate junk food,rest day,Inolaxol,Pantoprazole,prayer,Iberogast,Fexofenadine,chicken wild rice soup,chinese takeout,cooked,took viodin,Tylenol 3,clean eating,lift x2,nap,Exercise--walking,Benadryl,nsaid,Cefaly Unit,ativan,Progesterone,Support worker assistance,Wellbutrin,Car travel,didn't eat breakfast,walked,Montelukast,no sleep,Sleep,long walk,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albuterol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,8k steps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamins
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cod liver oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caffeine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuck yeah avocado
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lots of desk work
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blueberries
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swam
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitamin D tablets
