Syncope,tired,period,0.9% Sodium Chloride Solution 1L,saw a movie,IV fluids,Nurse,dinner with friends,Anna,Headache,Hairdresser,Visitors,Moms birthday,pain,Stanford,stressed,very hot weather,Very Hot Weather,Too Hot,hot weather,Tachy,Kalb,went to library,Exhausted,walked,couldn't sleep because homework,movies,Groceries,Ibuprofen,row
,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,2.0,0.0,Syncope
2.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,2.0,tired
2.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,2.0,period
2.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,2.0,0.9% Sodium Chloride Solution 1L
,,,,,,,,0.0,,,,2.0,,,,,,,,,0.0,0.0,,0.0,0.0,,,,saw a movie
2.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,2.0,IV fluids
2.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,2.0,Nurse
2.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,2.0,dinner with friends
,,,,0.0,,,,,,,,2.0,,,,,,,,,0.0,0.0,,0.0,0.0,,,,Anna
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,2.0,Headache
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,2.0,Hairdresser
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,2.0,Visitors
,,,,2.0,,,,2.0,,,,,,,,,,,,,2.0,2.0,,2.0,2.0,,,,Moms birthday
0.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,2.0,0.0,pain
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,2.0,Stanford
0.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,2.0,0.0,stressed
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,2.0,very hot weather
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,2.0,Very Hot Weather
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,2.0,Too Hot
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,2.0,hot weather
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,2.0,Tachy
,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,,0.0,,0.0,0.0,,,,Kalb
,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,0.0,,,0.0,0.0,,,,went to library
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,2.0,Exhausted
,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,0.0,0.0,,,0.0,,,,walked
,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,0.0,0.0,,0.0,,,,,couldn't sleep because homework
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,2.0,movies
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,2.0,Groceries
0.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,2.0,,Ibuprofen
