Vitamins,slept 12 hours,floravit iron,Extra Medications,Vitamin d,Coffee,Yin Chiao,Pataday,Wei Zhang Shun Qi Wan,Medical Marijuana,espresso,Daily walk,Weather- rain,Turmeric,coffee,Aloe Detox Water,gluten,Medical marijuana,Ibuprofen,Gan Mao Qing anti-viral,Progesterone,raspberries,Magnesium,Ondansetron,Cleaning ,Mirtazapine,Tian Ma Tou Tong - headache,Meditation,massage,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamins
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slept 12 hours
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,floravit iron
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extra Medications
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yin Chiao
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pataday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wei Zhang Shun Qi Wan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical Marijuana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,espresso
,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,Daily walk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weather- rain
,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Turmeric
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aloe Detox Water
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical marijuana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gan Mao Qing anti-viral
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Progesterone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raspberries
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ondansetron
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cleaning 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirtazapine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tian Ma Tou Tong - headache
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meditation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,massage
