Didn't shower,Went to the store,Light dinner,Texted friend,Went to a party,ate breakfast,Read comics,Diphenhydramine,Had candy,rest day,Played Go fish,skipped lunch,Quiet,listen to music ,slept in,Slept a lot,Swept,ate meat,Had peach soda,travel,ate dinner,Ate junk food,row
,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,Didn't shower
0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,Went to the store
0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,Light dinner
2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,2.0,Texted friend
0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,Went to a party
0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,ate breakfast
0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,Read comics
0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,Diphenhydramine
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,Had candy
,,,,,,,,,,,,,,,,,,,,,,rest day
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,Played Go fish
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,skipped lunch
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,Quiet
2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,,2.0,2.0,listen to music 
2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,,2.0,0.0,0.0,2.0,,2.0,2.0,slept in
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,,2.0,2.0,0.0,,0.0,0.0,Slept a lot
2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,2.0,,0.0,2.0,,2.0,2.0,Swept
2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,2.0,0.0,,2.0,,2.0,2.0,ate meat
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,,,0.0,0.0,Had peach soda
,,,,,,,,,,,,,,,,,,,,,,travel
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,,0.0,ate dinner
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,,Ate junk food
