Alcohol,physical therapy,Sunlight,Synthroid,Ambien CR,Acupuncture,birth control,Magnesium glycinate,5-htp,Nasonex,Claritin,tumeric extract,Strattera,Zofran,Hydroxyzine,Allergy Shots,eye ointment,meds,Famotidine,Vitamin b complex,strapping of shoulder,therapy session,Astelin,Vitamin C,heating pads,Norco,THC,Allegra,Klonopin,Goth clubbing,CBD,Singulair,Fish oil,stool softener,Rest,CoQ10,Vitamin b12,Post-op ice device,Zinc,Vitamin d,Ice pack,Melatonin,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunlight
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthroid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambien CR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acupuncture
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,birth control
,,,,,,,,1.0,1.0,1.0,,-1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,-1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,Magnesium glycinate
,,,,,,,1.0,,1.0,1.0,,-1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,-1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,5-htp
,,,,,,,1.0,1.0,,1.0,,-1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,-1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,Nasonex
,,,,,,,1.0,1.0,1.0,,,-1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,-1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,Claritin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tumeric extract
,,,,,,,-1.0,-1.0,-1.0,-1.0,,,,,,,,-1.0,-1.0,,,-1.0,-1.0,,,,1.0,-1.0,,,-1.0,-1.0,,,,-1.0,,-1.0,-1.0,,-1.0,Strattera
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zofran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydroxyzine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allergy Shots
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eye ointment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meds
,,,,,,,1.0,1.0,1.0,1.0,,-1.0,,,,,,,1.0,,,1.0,1.0,,,,-1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,Famotidine
,,,,,,,1.0,1.0,1.0,1.0,,-1.0,,,,,,1.0,,,,1.0,1.0,,,,-1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,Vitamin b complex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,strapping of shoulder
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,therapy session
,,,,,,,1.0,1.0,1.0,1.0,,-1.0,,,,,,1.0,1.0,,,,1.0,,,,-1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,Astelin
,,,,,,,1.0,1.0,1.0,1.0,,-1.0,,,,,,1.0,1.0,,,1.0,,,,,-1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,Vitamin C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heating pads
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Norco
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THC
,,,,,,,-1.0,-1.0,-1.0,-1.0,,1.0,,,,,,-1.0,-1.0,,,-1.0,-1.0,,,,,-1.0,,,-1.0,-1.0,,,,-1.0,,-1.0,-1.0,,-1.0,Allegra
,,,,,,,1.0,1.0,1.0,1.0,,-1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,-1.0,,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,Klonopin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goth clubbing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBD
,,,,,,,1.0,1.0,1.0,1.0,,-1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,-1.0,1.0,,,,1.0,,,,1.0,,1.0,1.0,,1.0,Singulair
,,,,,,,1.0,1.0,1.0,1.0,,-1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,-1.0,1.0,,,1.0,,,,,1.0,,1.0,1.0,,1.0,Fish oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stool softener
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CoQ10
,,,,,,,1.0,1.0,1.0,1.0,,-1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,-1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,,1.0,Vitamin b12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post-op ice device
,,,,,,,1.0,1.0,1.0,1.0,,-1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,-1.0,1.0,,,1.0,1.0,,,,1.0,,,1.0,,1.0,Zinc
,,,,,,,1.0,1.0,1.0,1.0,,-1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,-1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,,,1.0,Vitamin d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ice pack
,,,,,,,1.0,1.0,1.0,1.0,,-1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,-1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,,Melatonin
