Acetyl Carnitine,birth control,Magnesium glycinate,Soluble Aspirin,N-Acelcysteine,5-htp,Nasonex,Claritin,Lithium,Strattera,Creatine,Clonazepam,Famotidine,Vitamin b complex,therapy session,Astelin,Vitamin C,antihistamines,Panamax,Prednisone,Allegra,Klonopin,Singulair,Fish oil,CoQ10,Vitamin b12,Zinc,Vitamin d,Melatonin,Nortriptyline,row
,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,0.0,2.0,,,,,,,,,,0.0,Acetyl Carnitine
,,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,birth control
,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Magnesium glycinate
0.0,,,,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,0.0,2.0,,,,,,,,,,0.0,Soluble Aspirin
0.0,,,0.0,,,,,0.0,,0.0,0.0,,,,,,0.0,0.0,2.0,,,,,,,,,,0.0,N-Acelcysteine
,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5-htp
,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Nasonex
,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Claritin
0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,2.0,,,,,,,,,,0.0,Lithium
,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Strattera
0.0,,,0.0,0.0,,,,0.0,,,0.0,,,,,,0.0,0.0,2.0,,,,,,,,,,0.0,Creatine
0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,0.0,Clonazepam
,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Famotidine
,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Vitamin b complex
,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,therapy session
,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Astelin
,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Vitamin C
0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,0.0,2.0,,,,,,,,,,0.0,antihistamines
0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,2.0,,,,,,,,,,0.0,Panamax
2.0,,,2.0,2.0,,,,2.0,,2.0,2.0,,,,,,2.0,2.0,,,,,,,,,,,2.0,Prednisone
,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Allegra
,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Klonopin
,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,Singulair
,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,Fish oil
,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,CoQ10
,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,Vitamin b12
,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,Zinc
,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,Vitamin d
,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Melatonin
0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,0.0,2.0,,,,,,,,,,,Nortriptyline
