Codeine-Panadol,Valdoxan,Ritalin,Iron,Vyvanse,Acetyl Carnitine,Lithium,Nabumetone,Soluble Aspirin,N-Acelcysteine,Aspirin,Nasonex,Prednisone,Creatine,Clonazepam,Zofran,Risperidone,Buspirone,Trileptal,Athlete Vitamin,Hydroxychloroquine,antihistamines,Valium,Ventolin,Antihistamine,Physical activity,Codeine,Spironolactone,Vitamin B,Temazepam,Probiotics,Lamictal,Boswelia,Flutiform,Boswelia Complex,Panamax,Deep Breathing,Wellbutrin,Gabapentin,Zoladex,Voltaren,Sertraline,Nortriptyline,mag ox,Vitamin a,Lyrica,Ibuprofen,Meditation,Magnesium,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Codeine-Panadol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valdoxan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritalin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iron
,,,,,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.77513658359,0.0,,,,,0.0,2.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,,,0.0,,0.0,2.0,,,,,,,Vyvanse
,,,,2.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,,,,,0.0,2.0,2.0,2.0,,,2.0,,,,,,2.0,,0.0,,,,2.0,,,0.0,,,,,,,Acetyl Carnitine
,,,,2.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,,,,,0.0,2.0,2.0,2.0,,,2.0,,,,,,2.0,,0.0,,,,2.0,,,0.0,,,,,,,Lithium
,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,Nabumetone
,,,,2.0,0.0,0.0,,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,,,,,0.0,2.0,2.0,2.0,,,2.0,,,,,,2.0,,0.0,,,,2.0,,,0.0,,,,,,,Soluble Aspirin
,,,,2.0,0.0,0.0,,0.0,,2.0,2.0,0.0,0.0,0.0,2.0,,,,,,0.0,2.0,2.0,2.0,,,2.0,,,,,,2.0,,0.0,,,,2.0,,,0.0,,,,,,,N-Acelcysteine
,,,,0.0,2.0,2.0,,2.0,2.0,,0.0,2.0,2.0,2.0,0.0,,,,,,2.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,,,0.0,,,2.0,,,,,,,Aspirin
,,,,0.0,2.0,2.0,,2.0,2.0,0.0,,2.0,2.0,2.0,0.0,,,,,,2.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,,,0.0,,,2.0,,,,,,,Nasonex
,,,,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,,0.0,0.0,2.0,,,,,,0.0,2.0,2.0,2.0,,,2.0,,,,,,2.0,,0.0,,,,2.0,,,0.0,,,,,,,Prednisone
,,,,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,,0.0,2.0,,,,,,0.0,2.0,2.0,2.0,,,2.0,,,,,,2.0,,0.0,,,,2.0,,,0.0,,,,,,,Creatine
,,,,1.77513658359,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,2.0,,,,,0.0,0.0,2.0,2.0,2.0,,,2.0,,,,,,2.0,,0.0,,,,2.0,,0.0,0.0,,,,,,,Clonazepam
,,,,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,,,,,,2.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,,,0.0,,,2.0,,,,,,,Zofran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Risperidone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buspirone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,Trileptal
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athlete Vitamin
,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,Hydroxychloroquine
,,,,2.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,,,,,,2.0,2.0,2.0,,,2.0,,,,,,2.0,,0.0,,,,2.0,,,0.0,,,,,,,antihistamines
,,,,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,,,,,,2.0,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,,,0.0,,,2.0,,,,,,,Valium
,,,,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,,,,,,2.0,0.0,,0.0,,,0.0,,,,,,0.0,,2.0,,,,0.0,,,2.0,,,,,,,Ventolin
,,,,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,,,,,,2.0,0.0,0.0,,,,0.0,,,,,,0.0,,2.0,,,,0.0,,,2.0,,,,,,,Antihistamine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical activity
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Codeine
,,,,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,,,,,,2.0,0.0,0.0,0.0,,,,,,,,,0.0,,2.0,,,,0.0,,,2.0,,,,,,,Spironolactone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temazepam
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Probiotics
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lamictal
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boswelia
