Codeine-Panadol,Nasonex,Probiotics,Ventolin,Antihistamine,Vitamin B,Codeine,Zoladex,Candesartan,Buspirone,Valacyclovir,Vitamin a,Temazepam,Phentermine,Magnesium,Iron,Flutiform,Boswelia Complex,Zofran,Spironolactone,Aspirin,row
,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,Codeine-Panadol
2.0,,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,0.0,2.0,2.0,2.0,Nasonex
2.0,0.0,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,0.0,2.0,2.0,2.0,Probiotics
2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,0.0,2.0,2.0,2.0,Ventolin
2.0,0.0,0.0,0.0,,0.0,0.0,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,0.0,2.0,2.0,2.0,Antihistamine
2.0,0.0,0.0,0.0,0.0,,0.0,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,0.0,2.0,2.0,2.0,Vitamin B
2.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,0.0,2.0,2.0,2.0,Codeine
0.0,2.0,2.0,2.0,2.0,2.0,2.0,,,0.0,,2.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,Zoladex
,,,,,,,,,,,,,2.0,,,,,,,,Candesartan
0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,,,2.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,Buspirone
,,,,,,,,,,,,,,,,,,,,,Valacyclovir
2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,,,2.0,,2.0,0.0,0.0,0.0,2.0,2.0,2.0,Vitamin a
0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,Temazepam
,,,,,,,,2.0,,,,,,,,,,,,,Phentermine
0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,0.0,,,2.0,2.0,2.0,0.0,0.0,0.0,Magnesium
2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,2.0,,0.0,0.0,2.0,2.0,2.0,Iron
2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,2.0,0.0,,0.0,2.0,2.0,2.0,Flutiform
2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,Boswelia Complex
0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,2.0,,0.0,0.0,Zofran
0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,2.0,0.0,,0.0,Spironolactone
0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,,Aspirin
