Dancing,physical therapy,sex,Naproxen,prayer,fuck yeah avocado,busy,B12 timed release,Therapy,Thyroid-Pro (CanPrev),creative writing,Exercise--walking,cuddled kitten,Trigger Points,Buffered Salmon Oil - DHA - EPA,Quiet,Deep rest,trying to clean the house,Tavegyl,Sisu B Calm,playing music,Swimming,Physical therapy,Biosil,AOR Zinc-Copper Balance,row
,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,0.0,Dancing
0.0,,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,0.0,physical therapy
0.0,0.0,,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,0.0,sex
2.0,2.0,2.0,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,Naproxen
2.0,2.0,2.0,0.0,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,prayer
0.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,0.0,fuck yeah avocado
2.0,2.0,2.0,0.0,0.0,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,busy
0.0,0.0,0.0,2.0,2.0,0.0,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,0.0,B12 timed release
2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,Therapy
0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,0.0,Thyroid-Pro (CanPrev)
2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,creative writing
0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,0.0,Exercise--walking
2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,cuddled kitten
0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,0.0,Trigger Points
0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,0.0,Buffered Salmon Oil - DHA - EPA
0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,0.0,Quiet
2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,Deep rest
2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,0.0,0.0,0.0,,2.0,2.0,trying to clean the house
0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,2.0,2.0,,0.0,0.0,Tavegyl
2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,,0.0,0.0,,2.0,2.0,Sisu B Calm
2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,,0.0,,2.0,2.0,playing music
2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,,,2.0,2.0,Swimming
,,,,,,,,,,,,,,,,,,,,,,,,,Physical therapy
0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,,,0.0,Biosil
0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,,AOR Zinc-Copper Balance
