Fresh air,blueberries,Cetirizine hydrochloride,Vitamins,Psychotherapy,Beer,Vacation,Support worker assistance,strawberries,Fishing,Acetaminophen,Curcumin,lots of walking,catheter,5-htp,row
,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Fresh air
0.0,,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,blueberries
2.0,2.0,,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,Cetirizine hydrochloride
2.0,2.0,0.0,,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,Vitamins
0.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Psychotherapy
2.0,2.0,0.0,0.0,2.0,,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,Beer
0.0,0.0,2.0,2.0,0.0,2.0,,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Vacation
2.0,2.0,0.0,0.0,2.0,0.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,Support worker assistance
0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,strawberries
0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,Fishing
2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,2.0,2.0,Acetaminophen
2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,Curcumin
0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,,0.0,0.0,lots of walking
0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,,0.0,catheter
0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,5-htp
