suicidal,hiking,feeling a burden,blah,decent sleep,slept 7 hours,ate breakfast,eyes hurt,weepy,poor sleep,travel,tired,Tiring,Rain,super tired from last night,painful,still tired,flat,Superlong nap,Essential oils,cleaning,awful day,medical tests,day at home,shabbat,anxiety,depressed,boring,very bad sleep,Sad,stressed,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suicidal
,,,,0.0,,0.0,,,0.0,,0.0,,,,,,,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,hiking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feeling a burden
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blah
,0.0,,,,,0.0,,,0.0,,0.0,,,,,,,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,decent sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slept 7 hours
,0.0,,,0.0,,,,,0.0,,0.0,,,,,,,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eyes hurt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weepy
,0.0,,,0.0,,0.0,,,,,0.0,,,,,,,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,poor sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,travel
,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,tired
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tiring
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rain
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,super tired from last night
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,painful
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still tired
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flat
,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,2.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,Superlong nap
,2.0,,,2.0,,2.0,,,2.0,,2.0,,,,,,,2.0,,2.0,2.0,2.0,,2.0,,2.0,,,,2.0,Essential oils
,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,,0.0,2.0,,0.0,0.0,,0.0,,0.0,,,,0.0,cleaning
,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,,0.0,2.0,0.0,,0.0,,0.0,,0.0,,,,0.0,awful day
,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,,0.0,2.0,0.0,0.0,,,0.0,,0.0,,,,0.0,medical tests
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day at home
,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,,0.0,2.0,0.0,0.0,0.0,,,,0.0,,,,0.0,shabbat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anxiety
,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,,0.0,2.0,0.0,0.0,0.0,,0.0,,,,,,0.0,depressed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boring
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very bad sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sad
,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,,,stressed
