8k steps,Cod liver oil,Ferrous fumarate,Lansoprazole,Cyclizine,Flecainide,had sex,Levothyroxine,Amitriptyline,played video games,Metformin,Coffee,grocery shopping,Folic acid,travel,Hydroxyzine,Synthroid,meds,Topiramate,Heathen ritual,dairy,Ponaris,Morphine,ate gluten,Kayaking,Vitamin C,Mebeverine,Cleaning ,Car travel,Canned pumpkin,Flexeril,11K steps,studied,fun shopping,walked,took naps,Vitamin d,Melatonin,sun exposure,shopped,row
,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,0.0,,,2.0,,,,,,,,,8k steps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cod liver oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferrous fumarate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lansoprazole
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flecainide
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,had sex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Levothyroxine
,,,,,,,,,0.0,0.0,,0.0,,,,0.0,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,2.0,0.0,,,0.0,Amitriptyline
,,,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,2.0,0.0,,,0.0,played video games
,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,2.0,0.0,,,0.0,Metformin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,2.0,0.0,,,0.0,grocery shopping
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folic acid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,travel
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydroxyzine
,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,2.0,0.0,,,0.0,Synthroid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meds
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Topiramate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heathen ritual
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dairy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ponaris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morphine
2.0,,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,2.0,,,,2.0,,0.0,0.0,0.0,0.0,,2.0,0.0,,,0.0,ate gluten
0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,2.0,,,,,,,,,Kayaking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mebeverine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cleaning 
0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,2.0,,,,,,,,,Car travel
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canned pumpkin
,,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,0.0,,2.0,0.0,,,0.0,Flexeril
2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,2.0,,,,,,,,,,,,11K steps
,,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,0.0,,2.0,0.0,,,0.0,studied
,,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,0.0,,,,,,,0.0,,0.0,,,2.0,0.0,,,0.0,fun shopping
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,walked
,,,,,,,,2.0,2.0,2.0,,2.0,,,,2.0,,,,,,,2.0,,,,,,,2.0,,2.0,2.0,,,2.0,,,2.0,took naps
,,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,2.0,,,,0.0,Vitamin d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melatonin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sun exposure
,,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,2.0,0.0,,,,shopped
