worn out,tired,Visited the Park,Content,home day,tavel,walked the dog,nauseated,diarrhea,faitgue,resting,stressed,loud day,Daytime nap,packing,cleaning,trouble eating,Warm head,nausea,anxiety,bad sleep,very bad sleep,worried,excitement,Gentle,Took it easy,Oxycodone,Ran Errands,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,worn out
,,,,,,,,,,,,,,,,,,,,,,,,,,,,tired
,,,0.0,,,0.0,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,0.0,0.0,,0.0,Visited the Park
,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,0.0,0.0,,0.0,Content
,,,,,,,,,,,,,,,,,,,,,,,,,,,,home day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,tavel
,,0.0,0.0,,,,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,0.0,0.0,,0.0,walked the dog
,,,,,,,,,,,,,,,,,,,,,,,,,,,,nauseated
,,0.0,0.0,,,0.0,,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,0.0,,0.0,diarrhea
,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,,0.0,faitgue
,,,,,,,,,,,,,,,,,,,,,,,,,,,,resting
,,0.0,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,0.0,,0.0,stressed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,loud day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daytime nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,packing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaning
,,,,,,,,,,,,,,,,,,,,,,,,,,,,trouble eating
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warm head
,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,nausea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,anxiety
,,,,,,,,,,,,,,,,,,,,,,,,,,,,bad sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,very bad sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,worried
,,,,,,,,,,,,,,,,,,,,,,,,,,,,excitement
,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,,0.0,,0.0,Gentle
,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,0.0,Took it easy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oxycodone
,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,0.0,0.0,,,Ran Errands
