cramps,12K Steps,Forever Aloe Berry,slept well,"At Home In Albery Way, Grimsby",Just Back from Robert Waghmare's,played games,good sleep,expectations,sore jaw - stress,Garden of Life Raw Meal,Physio,Just Back From Business Trip,no work,Slept all day,ate breakfast,Headache,row
,0.0,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,cramps
0.0,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,0.0,12K Steps
,,,,2.0,2.0,,2.0,0.0,,0.0,,2.0,,,2.0,,Forever Aloe Berry
0.0,0.0,,,,,0.0,,,0.0,,0.0,,,0.0,,0.0,slept well
,,2.0,,,0.0,,0.0,2.0,,2.0,,0.0,,,0.0,,"At Home In Albery Way, Grimsby"
,,2.0,,0.0,,,0.0,2.0,,2.0,,0.0,,,0.0,,Just Back from Robert Waghmare's
0.0,0.0,,0.0,,,,,,0.0,,0.0,,,0.0,,0.0,played games
,,2.0,,0.0,0.0,,,2.0,,2.0,,0.0,,,0.0,,good sleep
,,0.0,,2.0,2.0,,2.0,,,0.0,,2.0,,,2.0,,expectations
0.0,0.0,,0.0,,,0.0,,,,,0.0,,,0.0,,0.0,sore jaw - stress
,,0.0,,2.0,2.0,,2.0,0.0,,,,2.0,,,2.0,,Garden of Life Raw Meal
0.0,0.0,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,Physio
,,2.0,,0.0,0.0,,0.0,2.0,,2.0,,,,,0.0,,Just Back From Business Trip
,,,,,,,,,,,,,,,,,no work
0.0,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,0.0,Slept all day
,,2.0,,0.0,0.0,,0.0,2.0,,2.0,,0.0,,,,,ate breakfast
0.0,0.0,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,,Headache
