Wear shoulder brace,coconut,napped well,Lying flat,More stretching,bed day,Miralax low dose at night,3 drinks,Caffeine,vacation,Protecting back,Poor sleep (hotel),Ambien CR,Glutamine,drank alcohol,Spasfon,ate breakfast,haircut,busy,spinach,Zofran,Hydroxyzine,new environment,gluten free,Ubiquinol,nap,dairy,dairy free,party,exercise,cuddled kitten,Oxynorm,Slept well,Woke Up With Alarm,mass transit,butternut squash risotto,listen to music ,heating pads,Norco,heavy physcial exertion,Late lunch,Freezie wrap,no breakfast,Sleeping pills ,studied,walked,Better sleep,very little sleep,Heating Pad,bed late,Vitamin b6,cocodamol,drawing,short nap,row
,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,Wear shoulder brace
0.0,,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,coconut
0.0,0.0,,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,napped well
2.0,2.0,2.0,,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,,0.0,,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,2.0,0.0,2.0,Lying flat
0.0,0.0,0.0,2.0,,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,More stretching
2.0,2.0,2.0,0.0,2.0,,0.0,2.0,,2.0,0.0,0.0,2.0,,0.0,,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,2.0,0.0,2.0,bed day
2.0,2.0,2.0,0.0,2.0,0.0,,2.0,,2.0,0.0,0.0,2.0,,0.0,,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,2.0,0.0,2.0,Miralax low dose at night
0.0,0.0,0.0,2.0,0.0,2.0,2.0,,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,3 drinks
,,,,,,,,,,,,,0.0,,2.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,2.0,,,,Caffeine
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,vacation
2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,0.0,,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,2.0,0.0,2.0,Protecting back
2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,,2.0,,0.0,,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,2.0,0.0,2.0,Poor sleep (hotel)
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,Ambien CR
,,,,,,,,0.0,,,,,,,2.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,2.0,,,,Glutamine
2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,,,,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,2.0,0.0,2.0,drank alcohol
,,,,,,,,2.0,,,,,2.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,0.0,,,,Spasfon
2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,0.0,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,2.0,0.0,2.0,ate breakfast
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,haircut
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,busy
,,,,,,,,2.0,,,,,2.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,0.0,,,,spinach
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,Zofran
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,Hydroxyzine
2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,,0.0,,0.0,2.0,2.0,,2.0,2.0,,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,2.0,0.0,2.0,new environment
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,gluten free
,,,,,,,,2.0,,,,,2.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,0.0,,,,Ubiquinol
2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,,0.0,,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,,,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,2.0,0.0,2.0,nap
2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,,0.0,,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,,0.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,2.0,0.0,2.0,dairy
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,dairy free
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,party
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,exercise
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,cuddled kitten
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,0.0,2.0,0.0,Oxynorm
