Dancing,physical therapy,sex,Naproxen,prayer,fuck yeah avocado,busy,B12 timed release,Therapy,Thyroid-Pro (CanPrev),creative writing,Exercise--walking,cuddled kitten,Trigger Points,Buffered Salmon Oil - DHA - EPA,Quiet,Deep rest,trying to clean the house,Tavegyl,Sisu B Calm,playing music,Swimming,Physical therapy,Biosil,AOR Zinc-Copper Balance,row
,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,Dancing
0.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,physical therapy
2.0,2.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,sex
2.0,2.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Naproxen
2.0,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,prayer
2.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,fuck yeah avocado
2.0,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,busy
0.0,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,B12 timed release
2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Therapy
2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Thyroid-Pro (CanPrev)
2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,creative writing
0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,Exercise--walking
0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,cuddled kitten
0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,Trigger Points
0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,Buffered Salmon Oil - DHA - EPA
2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Quiet
2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Deep rest
2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,trying to clean the house
2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Tavegyl
2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,Sisu B Calm
2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,playing music
2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,Swimming
,,,,,,,,,,,,,,,,,,,,,,,,,Physical therapy
2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,Biosil
2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,AOR Zinc-Copper Balance
