didn't really eat lunch,Carisoprodol,Cycling,Zantac,tramadol,Naproxen,Amitriptyline,Boswelia Complex,pur-absorb iron,Aspirin,Ativan,Plaquenil,sitting,Colpermin,Sulfasalazine,vegan,Dinner,Steps,Magnesium,pain relief,Relpax,Cambia,Swimming,Fish oil,Tramadol,physiotherapy,laxatives,Standing desk,cocodamol,Lexapro,Aleve,Prilosec,0.9% Sodium Chloride Solution 1L,Claritin,Citalopram,excedrin migraine,ate breakfast,Umeboshi,Superlong nap,Buffered Salmon Oil - DHA - EPA,Recov Bipeptides,breathing exercises,linseed,Gabapentin,Walking,Pain management,Nortriptyline,Cymbalta,Cranberry extract,Vitamin d,Prednesone,Tolterodine,massage,Lamictal,Diazepam,Yoga,L-methylfolate,Omeprazole,Levothyroxine,sugar free diet,Physio,Topiramate,Citrucel,Valium,rest day,Enbrel,Headspace,Glucosamine,Multivitamin,Kuzu,Noritriptyline,Ibuprofen,Meditation,Triamcinolone,Provigil,dozed,drank alcohol,birth control,yoga,Rowing machine,Klonopin,Daily walk,hot,Exercise--walking,Zopiclone,elliptical,Subling B12,Spironolactone,Temazepam,heating pads,Adderall,D-Ribose,Keppra,Azathioprine,Work,Pentasa,Athlete Vitamin,Trazodone,Propranolol,Pristiq,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,didn't really eat lunch
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carisoprodol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cycling
,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,-1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zantac
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tramadol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naproxen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amitriptyline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boswelia Complex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pur-absorb iron
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aspirin
