Wear shoulder brace,Lying flat,More stretching,physical therapy,Sunlight,Protecting back,Ambien CR,Miralax low dose at night,Magnesium glycinate,Alcohol,Nasonex,Claritin,Strattera,eye drops,Zofran,Hydroxyzine,eye ointment,gluten free,meds,dairy free,Famotidine,5-htp,Vitamin b complex,Oxynorm,strapping of shoulder,Astelin,Vitamin C,heating pads,eye compress,Norco,THC,Melatonin,pool,Allegra,Klonopin,Freezie wrap,CBD,Singulair,Fish oil,stool softener,Rest,Vitamin b12,Post-op ice device,Zinc,Vitamin d,Ice pack,cocodamol,Tolterodine,drawing,row
,0.0,0.0,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,0.0,Wear shoulder brace
0.0,,0.0,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,0.0,Lying flat
0.0,0.0,,,,0.0,0.0,2.0,,,,,,,0.0,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,0.0,More stretching
,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,physical therapy
,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Sunlight
0.0,0.0,0.0,,,,0.0,2.0,,,,,,,0.0,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,0.0,Protecting back
0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0109684617629,4.19395430231e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0214602494218,0.0,0.172624179423,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Ambien CR
2.0,2.0,2.0,,,2.0,2.0,,,,,,,,2.0,2.0,,2.0,,2.0,,,,2.0,,,,2.0,,2.0,,,,,,2.0,,,,,,,,,,,2.0,,2.0,Miralax low dose at night
,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Magnesium glycinate
,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Alcohol
