Mersyndol Forte,Diazepam,Sunlight,L-methylfolate,Pristiq,Keppra,massage,Exercise--walking,Lexapro,Glucosamine,Ibuprofen,Meditation,Aspirin,Cambia,Cleaning ,Gabapentin,row
,,,,,,,,,,,,,,,,Mersyndol Forte
,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,Diazepam
,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,Sunlight
,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,L-methylfolate
,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,Pristiq
,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,Keppra
,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,massage
,,,,,,,,,,,,,,,,Exercise--walking
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,Lexapro
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,Glucosamine
,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,Ibuprofen
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,Meditation
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,Aspirin
,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,Cambia
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,,0.0,Cleaning 
,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,Gabapentin
