8k steps,Fluvoxamine,juiced veggies,Naproxen,gluten,spicy food,Went to a party,fuck yeah avocado,ate breakfast,busy,nap,sugar,Plaquenil,woke up late,cuddled kitten,Excedrin,No milk,10K steps,treadmill,Moringa,Magnesium,THC,playing music,Swimming,Flexeril,11K steps,crawled,exercise,AOR Zinc-Copper Balance,gluten free diet,church,sex,Amitriptyline,slept 7 hours,eating out,nsaid,Tyrosine,grocery shopping,Methylphenidate,Synthroid,creative writing,11 hours of sleep,Buffered Salmon Oil - DHA - EPA,Slept well,Hike,Superlong nap,Quiet,listen to music ,Ropinirole,ate garlic,Tavegyl,Sisu B Calm,Trigger Points,slept in,Awesome cheat day,1 slice of cheese,Vitamin d,sun exposure,Yoga,hiking,physical therapy,Levothyroxine,Metformin,Exercise,trying to clean the house,lots of walking,Biosil,Dancing,vacation,Infection,15K steps,Therapy,Topiramate,slept late,banana,rest day,shopping,lower dose of msm,Chiropractic,laundry,crafting,Deep rest,2K steps,Midodrine,bunny cuddles,Thyroid-Pro (CanPrev),Love,slept 9 hours,Ultrasound,Ate poorly,ate a slice of cheese,Swam,Vacation,Worked in evening,prayer,drank alcohol,mountain biking,dairy,Ibuprofen 600mg,B12 timed release,advil,Took ibuprophen,10 hours interrupted sleep,hot,Exercise--walking,ate gluten,ate dairy,Wore arch supports all day,Kayaking,Mixed nuts snack,Voltaren,no breakfast,1 slice of cheese ,Car travel,archery,slept 10 hours,walked,no gluten,mango,Groceries,long walk,travel,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8k steps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluvoxamine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,juiced veggies
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naproxen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spicy food
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Went to a party
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuck yeah avocado
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,busy
