Diazepam,pilates,Wore arch supports all day,Work,Ex bike,ribs,Took ibuprophen,Stretching,cough syrup,Cranberry extract,Rest,Daytime nap,Daily walk,Topical ibuprofen,Sleep,Naproxen,5 or more portions of fruit and veg,Steps,Meditation,cocodamol,nap,row
,2.0,0.0,0.0,,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0666543937967,0.0,0.0,0.0666543937967,0.0,2.0,Diazepam
2.0,,,,,0.0,2.0,,,,,2.0,2.0,,2.0,,,2.0,,,0.0,pilates
0.0,,,0.0,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,,Wore arch supports all day
0.0,,0.0,,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,,Work
,,,,,,,,,,,,,,,,,,,,,Ex bike
2.0,0.0,,,,,2.0,,,,,2.0,2.0,,2.0,,,2.0,,,0.0,ribs
0.0,2.0,,,,2.0,,,,,,0.0,0.0,,0.0,,,0.0,,,2.0,Took ibuprophen
0.0,,0.0,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,,Stretching
,,,,,,,,,,,,,,,,,,,,,cough syrup
0.0,,0.0,0.0,,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,,Cranberry extract
,,,,,,,,,,,,,,,,,,,,,Rest
0.0,2.0,,,,2.0,0.0,,,,,,0.0,,0.0,,,0.0,,,2.0,Daytime nap
0.0,2.0,,,,2.0,0.0,,,,,0.0,,,0.0,,,0.0,,,2.0,Daily walk
0.0,,0.0,0.0,,,,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,,Topical ibuprofen
0.0,2.0,,,,2.0,0.0,,,,,0.0,0.0,,,,,0.0,,,2.0,Sleep
0.0666543937967,,0.0,0.0,,,,0.0,,0.0,,,,0.0,,,0.0,,0.0,0.0,,Naproxen
0.0,,0.0,0.0,,,,0.0,,0.0,,,,0.0,,0.0,,,0.0,0.0,,5 or more portions of fruit and veg
0.0,2.0,,,,2.0,0.0,,,,,0.0,0.0,,0.0,,,,,,2.0,Steps
0.0666543937967,,0.0,0.0,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,Meditation
0.0,,0.0,0.0,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,,,cocodamol
2.0,0.0,,,,0.0,2.0,,,,,2.0,2.0,,2.0,,,2.0,,,,nap
