Benadryl,Cetirizine,Ranitidine,had sex,shopping,danced,housework,Calcium citrate,Vitamin C,Physio,Albuterol Inhaler,Vitamin d,pasta,ate lots,worked,masturbated,low protein,dairy,ate breakfast,Turmeric,row
,0.0,0.0,,,2.0,2.0,0.0,0.0,,0.0,0.0,2.0,,2.0,0.0,2.0,,2.0,0.0,Benadryl
0.0,,0.0,,,2.0,2.0,0.0,0.0,,0.0,0.0,2.0,,2.0,0.0,2.0,,2.0,0.0,Cetirizine
0.0,0.0,,,,2.0,2.0,0.0,0.0,,0.0,0.0,2.0,,2.0,0.0,2.0,,2.0,0.0,Ranitidine
,,,,2.0,,,,,2.0,,,,2.0,,,,0.0,,,had sex
,,,2.0,,,,,,0.0,,,,0.0,,,,2.0,,,shopping
2.0,2.0,2.0,,,,0.0,2.0,2.0,,2.0,2.0,0.0,,0.0,2.0,0.0,,0.0,2.0,danced
2.0,2.0,2.0,,,0.0,,2.0,2.0,,2.0,2.0,0.0,,0.0,2.0,0.0,,0.0,2.0,housework
0.0,0.0,0.0,,,2.0,2.0,,0.0,,0.0,0.0,2.0,,2.0,0.0,2.0,,2.0,0.0,Calcium citrate
0.0,0.0,0.0,,,2.0,2.0,0.0,,,0.0,0.0,2.0,,2.0,0.0,2.0,,2.0,0.0,Vitamin C
,,,2.0,0.0,,,,,,,,,0.0,,,,2.0,,,Physio
0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,,,0.0,2.0,,2.0,0.0,2.0,,2.0,0.0,Albuterol Inhaler
0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,,0.0,,2.0,,2.0,0.0,2.0,,2.0,0.0,Vitamin d
2.0,2.0,2.0,,,0.0,0.0,2.0,2.0,,2.0,2.0,,,0.0,2.0,0.0,,0.0,2.0,pasta
,,,2.0,0.0,,,,,0.0,,,,,,,,2.0,,,ate lots
2.0,2.0,2.0,,,0.0,0.0,2.0,2.0,,2.0,2.0,0.0,,,2.0,0.0,,0.0,2.0,worked
0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,,0.0,0.0,2.0,,2.0,,2.0,,2.0,0.0,masturbated
2.0,2.0,2.0,,,0.0,0.0,2.0,2.0,,2.0,2.0,0.0,,0.0,2.0,,,0.0,2.0,low protein
,,,0.0,2.0,,,,,2.0,,,,2.0,,,,,,,dairy
2.0,2.0,2.0,,,0.0,0.0,2.0,2.0,,2.0,2.0,0.0,,0.0,2.0,0.0,,,2.0,ate breakfast
0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,,0.0,0.0,2.0,,2.0,0.0,2.0,,2.0,,Turmeric
