thirsty,tired,night energy,It was a bad idea,sas,woken by alarm,woken,underslept,hiking,Sitting,First day relapse ,low acid,immoble,achy,shoulder ache,Superlong nap,day at home,television,hungry,Day off,Sleep,stressed,overslept,woke naturally,row
,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,,0.0,,,thirsty
0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,,0.0,,,tired
,,,,,0.0,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,,0.0,0.0,night energy
0.0,0.0,,,0.0,,,,,,,,0.0,,,,,,0.0,,,0.0,,,It was a bad idea
0.0,0.0,,0.0,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,sas
,,0.0,,,,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,,0.0,0.0,woken by alarm
,,2.0,,,2.0,,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,,2.0,2.0,woken
,,0.0,,,0.0,2.0,,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,,0.0,0.0,underslept
,,2.0,,,2.0,0.0,2.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,,2.0,2.0,hiking
,,2.0,,,2.0,0.0,2.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,,2.0,2.0,Sitting
,,2.0,,,2.0,0.0,2.0,0.0,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,,2.0,2.0,First day relapse 
,,0.0,,,0.0,2.0,0.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,,0.0,0.0,low acid
0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,immoble
,,2.0,,,2.0,0.0,2.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,,2.0,0.0,,2.0,2.0,achy
,,2.0,,,2.0,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,,0.0,0.0,0.0,,2.0,0.0,,2.0,2.0,shoulder ache
,,2.0,,,2.0,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,,0.0,0.0,,2.0,0.0,,2.0,2.0,Superlong nap
,,2.0,,,2.0,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,2.0,0.0,,2.0,2.0,day at home
,,2.0,,,2.0,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,television
0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,hungry
,,0.0,,,0.0,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,,0.0,0.0,Day off
,,2.0,,,2.0,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,,2.0,,,2.0,2.0,Sleep
0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,stressed
,,0.0,,,0.0,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,,,0.0,overslept
,,0.0,,,0.0,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,,0.0,,woke naturally
