Wear shoulder brace,Ambien CR,More stretching,Oxynorm,Lying flat,Miralax low dose at night,Amitriptyline,Metformin,Zofran,Hydroxyzine,Synthroid,gluten free,dairy free,Protecting back,Zolpidem ER,heating pads,Norco,Flexeril,Freezie wrap,Sleep,Vitamin d,cocodamol,drawing,row
,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,Wear shoulder brace
2.0,,2.0,2.0,2.0,2.0,,,2.0,0.0,,2.0,2.0,2.0,,2.0,2.0,,2.0,,,2.0,2.0,Ambien CR
0.0,2.0,,0.0,0.0,0.0,,,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,More stretching
0.0,2.0,0.0,,0.0,0.0,,,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,Oxynorm
0.0,2.0,0.0,0.0,,0.0,,,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,Lying flat
0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,Miralax low dose at night
,,,,,,,2.22044604925e-16,,,2.22044604925e-16,,,,,,,2.22044604925e-16,,,2.22044604925e-16,,,Amitriptyline
,,,,,,2.22044604925e-16,,,,2.22044604925e-16,,,,,,,2.22044604925e-16,,,2.22044604925e-16,,,Metformin
0.0,2.0,0.0,0.0,0.0,0.0,,,,2.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,Zofran
2.0,0.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,2.0,2.0,,2.0,2.0,,2.0,,,2.0,2.0,Hydroxyzine
,,,,,,2.22044604925e-16,2.22044604925e-16,,,,,,,,,,2.22044604925e-16,,,2.22044604925e-16,,,Synthroid
0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,gluten free
0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,dairy free
0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,Protecting back
,,,,,,,,,,,,,,,,,,,,,,,Zolpidem ER
0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,heating pads
0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,Norco
,,,,,,2.22044604925e-16,2.22044604925e-16,,,2.22044604925e-16,,,,,,,,,,2.22044604925e-16,,,Flexeril
0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,Freezie wrap
,,,,,,,,,,,,,,,,,,,,,,,Sleep
,,,,,,2.22044604925e-16,2.22044604925e-16,,,2.22044604925e-16,,,,,,,2.22044604925e-16,,,,,,Vitamin d
0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,cocodamol
0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,drawing
