Azathioprine,Omega-3 Capsules,Citalopram,Nortriptyline,Pentasa,MitoQ ,Oestrogel,Gabapentine,co-tenidone,Pantoprazole,Venlafaxine,Zolpidem,Prontolax Supp,row
,,0.0,,0.0,,,,0.0,,,,,Azathioprine
,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Omega-3 Capsules
0.0,,,,0.0,,,,0.0,,,,,Citalopram
,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Nortriptyline
0.0,,0.0,,,,,,0.0,,,,,Pentasa
,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,MitoQ 
,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,Oestrogel
,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,Gabapentine
0.0,,0.0,,0.0,,,,,,,,,co-tenidone
,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,Pantoprazole
,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,Venlafaxine
,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,Zolpidem
,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,Prontolax Supp
