Albuterol,hiking,Cycling,Midodrine,Phyical Therapy - stretches,Fluvoxamine,Caffeine,Osteopathy,Tylenol 3,Cannabis,Ambien CR,Miralax low dose at night,Amitriptyline,farm work,ate breakfast,busy,Prednisone,excedrin migraine,ponstan,DEHA,Vitamin b complex,overeating,Methylcobalamine,Colpermin,Stretching,Megaspore,psychologist,Magnesium,pain relief,Boswelia Complex,THC,bread,Allegra,Fish oil,Rest,Lidocaine Patch,Cane to get down stairs,laxatives,Post-op ice device,Standing desk,Methylphenidate,cocodamol,Corticosteroids,Dicyclomine,Home physio exercises,Omeprazole,gluten free diet,Bicarb on scalp,Prilosec,breathing exercises,Aromatherapy,0.9% Sodium Chloride Solution 1L,Vicodin,Tyrosine,Charcoal,Claritin,Strattera,Relaxing,Ultrasound,Citalopram,Zofran,Clinda-derm,Hydroxyzine,meds,Quell,masturbated,dairy,Low-FODMAP diet,Veggies,Acetaminophen plus Codeine Number 3,Inderal,Buffered Salmon Oil - DHA - EPA,Recov Bipeptides,Astelin,Vitamin C,Vitamin B,Probiotics,Ropinirole,Anakinra,Tavegyl,eye drops,Gabapentin,Maxalt,Klonopin,Medication,CBD,Voltaren,LUSH acne spot-treatment,Zomig,Ginger,Vitamin b12,Vitamin d,Methotrexate,strength exercises,Late lunch,Cardio,massage,linseed,cheese,didn't really eat lunch,Yoga,Contraceptive pill,More stretching,physical therapy,Medications,Lying flat,Metformin,Exercise,Physio,Topiramate,juiced,Headspace,Dermatologist,Snooze,Plaquenil,Paracatamol with codeine,Oxynorm,Chiropractic,gym,Walking,eye compress,Tranexamic acid,Multivitamin,pancakes dinner,rebounding,Love,Pain management,Noritriptyline,Snacks,stool softener,anti-nausea pills,Zinc,Ibuprofen,Melatonin,counselor,Nortriptyline,Imodium,Wear shoulder brace,Tretinoin,Alcohol,Migraine Diet,Inolaxol,Sunlight,Bed at 11,Pantoprazole,aqua therapy,mountain biking,Magnesium glycinate,breakfast,5-htp,colofac mr,Nasonex,Fexofenadine,Rowing machine,Trigger Points,Coenzyme q-10,ate little,eye ointment,gluten free,Ginkgo,hot,Fruit,Achy breaky rub,dairy free,Athlete Vitamin,Famotidine,Iberogast,Zyrtec,Enada,Protecting back,Ranitidine,strapping of shoulder,Cefaly Unit,Seasonique,Coffee,Progesterone,Ice pack,Migraine herb feverfew tablets,heating pads,Norco,Tramadol,catheter,pool,psychiatrists,Azathioprine,neuro,Freezie wrap,Singulair,Low oxalate,wear mask,walked,Montelukast,Sleep,long walk,Paracetamol,swimming,drawing,Multi-vitamin,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albuterol
,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hiking
,,,,,,,,,,,,0.0,,,,,0.0,,,,,,2.0,,,,,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,Cycling
,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midodrine
,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,Phyical Therapy - stretches
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluvoxamine
,,,,,,,,2.0,2.0,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,Caffeine
,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,0.0,,,,,,,,,,,,,,0.0682511987102,,,,,,,,,0.0,,,,0.0845281124221,,,,,,,,,,,,,,,,,,0.026114015282,,0.0,0.0,,,,,,0.0,,,,,,0.684648612309,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.590712675165,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,0.181074430326,,2.0,,,,,,,,,,,,,,0.0,,,,,,0.0,Osteopathy
,,,,,,2.0,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Tylenol 3
,,,,,,2.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Cannabis
