Albuterol,Carisoprodol,Viibryd,Vitamins,Women's probiotic,Cod liver oil,Caffeine,Ambien CR,Miralax low dose at night,Ate crab,fuck yeah avocado,Slept a lot,anti-diarrhea med,Gelatin,Turmeric tea,Hemorrhoid Cream,vitamin D tablets,ponstan,Cold Mask,Boswelia,Mt. Si ACDC 2x Coco Caps,therapy session,skipped lunch,vegan,psychologist,blowjob,Ibuprofen 800mg,Slept most of the day,Triamcinolone Cream,Chocolate after 6pm,Rest,laxatives,Standing desk,cocodamol,masturbated,Ritalin,Low dose pain meds,bed day,Language Learning,Bicarb on scalp,bacon,Zolpidem,Charcoal,Claritin,Prednisolone,Pataday,Probiotic Gummy,Read comics,creative writing,exercise,Tetralabs Gold Caps CBN,Greens First Powder,Buffered Salmon Oil - DHA - EPA,Quiet,b12 injection,busy,linseed,5 or more portions of fruit and veg,eye drops,Meditation,WomenSense AdrenaSense Adrenal Formula,slept in,CBD,Nortriptyline,studied,new environment,Ice pack,Prednesone,Curcumin,massage,Ropinirole,Diazepam,cooked,Yoga,Zyrtec,Vyvanse,Flonase,Didn't shower,decent sleep,played computer,had sex,Lying flat,Levothyroxine,N-Acelcysteine,Creatine,Diphenhydramine,Dermatologist,Ibuprophen,Deep Breathing,paperwork,No red meat,Trigger Points,ZMA,Ate healthy,Calcium citrate,eye compress,Celebrex,Flutiform,pancakes dinner,Folic acid,rebounding,Kuzu,Noritriptyline,Melatonin,Thyroid-Pro,ate dinner,TENS Unit,Wear shoulder brace,cutting weight,AM meds,Migraine Diet,Swam,Valacyclovir,Went to the store,drank alcohol,Magnesium glycinate,Chiropractic adjustment,B12 timed release,use exercise bike,travel,ate little,eye ointment,gluten free,8 hours sleep,elliptical,Famotidine,Topical ibuprofen,Enada,Wore arch supports all day,Social interactions,Topamax,Astelin,Essential oils,heating pads,Norco,Metoprolol,Ondansetron,popcorn,Lymphatic massage,Azathioprine,Iodine,Cardio,Athlete Vitamin,Pristiq,Ex bike,Cycling,Lansoprazole,haircut,Fluids,Osteopathy,floravit iron,Naproxen,Toprol,Amitriptyline,pur-absorb iron,Daily walk,Vitamin D3,Risperidone,N-acetyl cysteine,foot brace,Covocort,Self care,Methylcobalamine,Colpermin,Sulfasalazine,good nights sleep,butternut squash risotto,Steps,Panamax,Tetralabs Gold Caps,Turmeric,read book,Flexeril,daytime nap,Pepto-bismol,Veggies,Nutrasea Fish Oil,Hobbies,Corticosteroids,Prilosec,3 drinks,Oestrogel,Miralax low dose PM,Biest,Protecting back,Butterbur,Eicosapentaenoic acid,laundry,ice cream,ASMR,Swept,Relaxing,Zofran,Clinda-derm,methyl B12,Vitamin Gummies,hand and face physio only,Antihistamine,antihistamines,Vitamin B complex - 50,Excedrin tension headache,Lamictal,Tavegyl,ate well,Walking,Medication,Modulen,Cymbalta,Zoloft,Better sleep,bed late,Late lunch,Codeine-Panadol,Pro Omega 2000 Fish Oil,no breakfast,Contraceptive pill,Bu Zhong Yi Qi capsules,Echinacea,Medications,Adderall,Extra Medications,Exercise,cobb salad,Farm,washing up,Topiramate,Snooze,banana,Valium,Multi vitamin,Enbrel,Deep rest,8.75 hours sleep,Mirtazapine,Singulair,Tizanidine,very little sleep,had sex ,Zinc,counselor,slept 7 hours,10.5 hours sleep,Dicyclomine,coconut,Ferrous sulfate,Alcohol,B Complex,Imodium,breakfast,5-htp,Cetirizine hydrochloride,Rowing machine,Ocella,Tramadol,Ubiquinol,Achy breaky rub,Zopiclone,dairy free,siracha,Prontolax Supp,flu vaccine injection,strapping of shoulder,Seasonique,distraction,Magnesium citrate,ate breakfast,heavy physcial exertion,neuro,Glycine,Calcium,cough syrup,Oxycodone,Klaire Ther-biotic,Paracetamol,Propranolol,Zantac,Ferrous fumarate,Had candy,Bovine colostrum,Went to a party,My Goodness Organics meals,Omega-3 Capsules,Prednisone,excedrin migraine,mag ox,MDMA,Ativan,Buspirone,cashews,DLPA,Borage oil,Vitamin b complex,Thyreoidum,Dexedrine,Aloe Detox Water,Oxcarbazepine,Phenergan,Moringa,Same,slept all night,THC,Swimming,Allegra,ate meat,Marijuana,Cane to get down stairs,electric wheelchair,AOR Zinc-Copper Balance,powerlifting,Tretinoin,gluten free diet,Flecainide,Cannabis CBD capsule 10mg,Texted friend,Thyroxine,Strattera,Docosahexaenoic acid,Low oxalate,Synthroid,12 hours sleep,Vitamin B2,7-keto-dhea,Quell,Biotin,Woke Up With Alarm,Complex b,Pet Therapy,Inderal,vacuuming,breathing exercises,Vitamin B,listen to music ,Vitamin b6,Gabapentin,Vitamin C,Klonopin,Cetirizine,Pain management,Surgical repair of injured shoulder ,Cranberry extract,Orgasm,Coenzyme q-10,Diclofenac,Vitamin e,Vitamin d,Probiotics,Ate junk food,Thyrax,Progressive muscle relaxation,Triamcinolone,physical therapy,hot water bottle,adapten-all,Andrographis compound,Daytime sleep,lots of walking,Clonazepam,Sisu B Calm,vacation,occular migraine meds,Physio,Cleaning ,Weather- rain,Citrucel,Drinking eight glasses or more of water,Inolaxol,Paracatamol with codeine,Cyclizine,shopping,Chiropractic,juiced,Headspace,Nycopro Probiotic,Midodrine,Multivitamin,Canned pumpkin,Gardening,Quell Unit,Sertraline,Ibuprofen,Valtrex,Kirkland Fish Oil,Selenium,Sunlight,Ventolin,Bed at 11,Nasonex,Zolpidem ER,Hit 10k Steps,Ecural,Vitamin a,Zolmitriptan,Valerian,Uncooked cornstarch,did some homework,party,Subling B12,Magnesium amino acid chelate,had sex last night,Womans balance,Ranitidine,Neti Pot,Tian Ma Tou Tong - headache,Codeine,thyroid support complex,Daytime nap,Spironolactone,Gabapentine,Migraine herb feverfew tablets,Iron,Lexam,catheter,psychiatrists,Freezie wrap,Snacks,Duexis,Pentasa,Physiotherapy,Wei Te Ling - heartburn,Heating Pad,Had peach soda,Gui Pi Pills,Resrticted diet,drawing,Multi-vitamin,Phyical Therapy - stretches,MitoQ ,Acetyl Carnitine,Cannabis,juiced veggies,Soluble Aspirin,Aspirin,hiking,Trileptal,Clarithromycin,Gravol,tramadol,DEHA,Ponaris,cuddled kitten,Probiotic,raspberries,Stretching,Dinner,did lots of cross stitch,Magnesium,Slept extra,Amitryptiline,Boswelia Complex,8.5 hours sleep,CrossFit,Fish oil,physiotherapy,Lyrica,Post-op ice device,Coconut Oil Pulling,Home physio exercises,Eyebright Complex,Aleve,Fentanyl,Folate,Aromatherapy,Vicodin,Compression Stockings,Acetaminophen,ate almonds,Nasal spray,Coffee,pilates,Citalopram,Hydroxyzine,MonoNessa,meds,SPD alternative treatments,Venlafaxine,Low-FODMAP diet,shoulder stretching,Humira,Slept well,Played Go fish,Superlong nap,SAD Light Box,Equilibrant,Seeds,Placebo,ate legumes,Maxalt,LUSH acne spot-treatment,Zomig,hydrocortisone suppository ,cuddles!,Hydrocortisone,Vitamin b12,EnzymixPro,Methotrexate,Tolterodine,Probiotic Pearls,More stretching,Valdoxan,Florinef,Omeprazole,Metformin,Magnesium gel,Recov Bipeptides,9 hours sleep,Armodafinil,Therapy,Wellbutrin,CoQ10,Oxynorm,Morphine,gluten,Tranexamic acid,Thyroid-Pro (CanPrev),b12 spray,Escitalopram,exercise - dancing,stool softener,Cabergoline,hip abduction,short nap,Naltrexone,Glutamine,small breakfast,Provigil,Light dinner,Pantoprazole,aqua therapy,birth control,Lithium,Iberogast,Peristeen,Fexofenadine,Fluoxetine,B12 drops,Tylenol 3,nap,Exercise--walking,Benadryl,nsaid,Cefaly Unit,pain relief,Progesterone,mass transit,Support worker assistance,Temazepam,Mebeverine,pool,Zoladex,Valcyte,walked,Montelukast,Medical Marijuana,Voltaren,Sleep,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albuterol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carisoprodol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viibryd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamins
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Women's probiotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cod liver oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caffeine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,Ambien CR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miralax low dose at night
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ate crab
