Codeine-Panadol,Valdoxan,Iron,paperwork,Vitamin a,Vyvanse,Zoladex,Acetyl-l-carnitine,Spironolactone,read book,Acetyl Carnitine,Acupuncture,birth control,Magnesium glycinate,fuck yeah avocado,Soluble Aspirin,5-htp,hand and face physio only,Nasonex,Claritin,tumeric extract,Strattera,Creatine,Zofran,Synthroid,had sex ,Buspirone,Famotidine,Aspirin,Vitamin b complex,Flutiform,washing up,laundry,antihistamines,Voltaren,Ventolin,therapy session,Antihistamine,Ibuprofen,Codeine,Astelin,vacuuming,Vitamin C,Vitamin B,blowjob,Temazepam,Probiotics,Magnesium,Boswelia,Vitamin d+calcium,Vitamin b12,Boswelia Complex,Panamax,Prednisone,Allegra,Klonopin,Goth clubbing,Singulair,had sex last night,Fish oil,cuddles!,CoQ10,cooked,Allergy Shots,Athlete Vitamin,Valium,Zinc,Vitamin d,had sex,Melatonin,row
,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Codeine-Panadol
0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Valdoxan
0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Iron
,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,2.0,,0.0,,,,,,0.0,,paperwork
0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Vitamin a
0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Vyvanse
0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Zoladex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,Acetyl-l-carnitine
0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Spironolactone
,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,2.0,,0.0,,,,,,0.0,,read book
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Acetyl Carnitine
,,,,,,,,,,,,0.0,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,0.0,,,2.0,,2.0,,,,,,,2.0,,,,2.0,,2.0,,,,,,,,2.0,,,,2.0,0.0,0.0,2.0,,2.0,,2.0,,0.0,,,2.0,2.0,,2.0,Acupuncture
,,,,,,,,,,,0.0,,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,0.0,,,2.0,,2.0,,,,,,,2.0,,,,2.0,,2.0,,,,,,,,2.0,,,,2.0,0.0,0.0,2.0,,2.0,,2.0,,0.0,,,2.0,2.0,,2.0,birth control
,,,,,,,,,,,2.0,2.0,,,,0.0,,0.0,0.0,2.0,0.0,,,2.0,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,2.0,2.0,0.0,,0.0,,0.0,,2.0,,,0.0,0.0,,0.0,Magnesium glycinate
,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,2.0,,0.0,,,,,,0.0,,fuck yeah avocado
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Soluble Aspirin
,,,,,,,,,,,2.0,2.0,0.0,,,,,0.0,0.0,2.0,0.0,,,2.0,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,2.0,2.0,0.0,,0.0,,0.0,,2.0,,,0.0,0.0,,0.0,5-htp
,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,2.0,,0.0,,,,,,0.0,,hand and face physio only
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,Nasonex
,,,,,,,,,,,2.0,2.0,0.0,,,0.0,,0.0,,2.0,0.0,,,2.0,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,2.0,2.0,0.0,,0.0,,0.0,,2.0,,,0.0,0.0,,0.0,Claritin
,,,,,,,,,,,0.0,0.0,2.0,,,2.0,,2.0,2.0,,2.0,,,0.0,,,2.0,,2.0,,,,,,,2.0,,,,2.0,,2.0,,,,,,,,2.0,,,,2.0,0.0,0.0,2.0,,2.0,,2.0,,0.0,,,2.0,2.0,,2.0,tumeric extract
,,,,,,,,,,,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,,,,2.0,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,2.0,2.0,0.0,,0.0,,0.0,,2.0,,,0.0,0.0,,0.0,Strattera
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Creatine
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Zofran
,,,,,,,,,,,0.0,0.0,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,,,,2.0,,2.0,,,,,,,2.0,,,,2.0,,2.0,,,,,,,,2.0,,,,2.0,0.0,0.0,2.0,,2.0,,2.0,,0.0,,,2.0,2.0,,2.0,Synthroid
,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,2.0,,0.0,,,,,,0.0,,had sex 
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Buspirone
,,,,,,,,,,,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,2.0,,,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,2.0,2.0,0.0,,0.0,,0.0,,2.0,,,0.0,0.0,,0.0,Famotidine
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,Aspirin
,,,,,,,,,,,2.0,2.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,2.0,,,0.0,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,2.0,2.0,0.0,,0.0,,0.0,,2.0,,,0.0,0.0,,0.0,Vitamin b complex
