Regular Day,cold feet,Janet,Infusion ,dry mouth,back pain,Work,dry eye,fatigue,Better energy,Release week,cold,stuffy nose,weekend,gluten,row
,,0.0,0.0,,,0.0,,,,,,,,,Regular Day
,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cold feet
0.0,,,0.0,,,0.0,,,,,,,,,Janet
0.0,,0.0,,,,0.0,,,,,,,,,Infusion 
,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dry mouth
,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back pain
0.0,,0.0,0.0,,,,,,,,,,,,Work
,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dry eye
,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,fatigue
,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,Better energy
,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Release week
,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,cold
,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,stuffy nose
,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,weekend
,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,gluten
