8k steps,Yoga,Pedicure,fresh food,took nap,b12 shot,shopped,crocheted,had sex,Vicodin,played video games,busy,Prednisone,grocery shopping,smoothie,vacation,15K steps,nap,ate pizza,alcohol yesterday,holiday,gym,kayaked yesterday,Slept well,Cefaly Unit,Seasonique,10K steps,Kayaking,16K steps,Daytime nap,2K steps,5k steps,Car travel,Maxalt,slept in,Gardening,11K steps,Physical therapy,fun shopping,12K Steps,Lidocaine Patch,new environment,Cane to get down stairs,took naps,Ibuprofen,smoked,massage,row
,2.0,0.0,,,,,,0.0,2.0,,0.0,2.0,,,,0.0,,,,0.0,,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,,2.0,8k steps
2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.22044604925e-16,2.0,2.0,1.11022302463e-16,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.22044604925e-16,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.22044604925e-16,2.0,2.22044604925e-16,Yoga
0.0,2.0,,,,,,,0.0,2.0,,0.0,2.0,,,,0.0,,,,0.0,,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,,2.0,Pedicure
,2.0,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,,,,,,,,2.0,,0.0,,,0.0,,,0.0,0.0,0.0,2.0,0.0,2.0,fresh food
,2.0,,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,,,,,,,,2.0,,0.0,,,0.0,,,0.0,0.0,0.0,2.0,0.0,2.0,took nap
,2.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,,,,,,,,2.0,,0.0,,,0.0,,,0.0,0.0,0.0,2.0,0.0,2.0,b12 shot
,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,,,,,,,,2.0,,0.0,,,0.0,,,0.0,0.0,0.0,2.0,0.0,2.0,shopped
,2.0,,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,,,,,,,,2.0,,0.0,,,0.0,,,0.0,0.0,0.0,2.0,0.0,2.0,crocheted
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,3.33066907388e-16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.22044604925e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,had sex
2.0,2.22044604925e-16,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.22044604925e-16,2.0,2.22044604925e-16,Vicodin
,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,,,,,,,,2.0,,0.0,,,0.0,,,0.0,0.0,0.0,2.0,0.0,2.0,played video games
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33066907388e-16,2.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.11022302463e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,busy
2.0,1.11022302463e-16,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.11022302463e-16,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.22044604925e-16,2.0,1.11022302463e-16,Prednisone
,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,,,,,,,,2.0,,0.0,,,0.0,,,0.0,0.0,0.0,2.0,0.0,2.0,grocery shopping
,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,,,,,,,,2.0,,0.0,,,0.0,,,0.0,0.0,0.0,2.0,0.0,2.0,smoothie
,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,2.0,,,,,,,,2.0,,0.0,,,0.0,,,0.0,0.0,0.0,2.0,0.0,2.0,vacation
0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,2.0,,,,,,,,0.0,,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,,2.0,15K steps
,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,2.0,,,,,,,,2.0,,0.0,,,0.0,,,0.0,0.0,0.0,2.0,0.0,2.0,nap
,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,,,,,,,,2.0,,0.0,,,0.0,,,0.0,0.0,0.0,2.0,0.0,2.0,ate pizza
