Vitamin d,Valdoxan,Omeprazole,Contraceptive pill,Migraine Diet,Bicarb on scalp,Vyvanse,Ventolin,floravit iron,Eyebright Complex,Lithium,Magnesium gel,pur-absorb iron,Iberogast,Charcoal,Prednisone,Pataday,Creatine,Clonazepam,Zofran,Ecural,Synthroid,Soluble Aspirin,Buspirone,DLPA,Low-FODMAP diet,Inolaxol,Valium,linseed,Ranitidine,Probiotic,Nasonex,Inderal,Stretching,Codeine,Progesterone,Spironolactone,Vitamin B,Physiotherapy,Tian Ma Tou Tong - headache,Probiotics,Magnesium,Iron,Multivitamin,Ondansetron,Panamax,Mirtazapine,Zoladex,Pain management,Voltaren,Fish oil,Vitamin B complex - 50,Wei Te Ling - heartburn,Vitamin a,Standing desk,Ibuprofen,Mezavant,Nortriptyline,Multi-vitamin,row
,0.0,,,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,Vitamin d
0.0,,,,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,Valdoxan
,,,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,Omeprazole
,,0.0,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,Contraceptive pill
0.0,0.0,,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,Migraine Diet
,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,Bicarb on scalp
0.0,0.0,,,0.0,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,Vyvanse
0.0,0.0,,,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,Ventolin
0.0,0.0,,,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,,,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,floravit iron
0.0,0.0,,,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,Eyebright Complex
