gluten free diet,Same,Pepto-bismol,Florinef,Exercise,Vitamin d,Farm,creative writing,Diclofenac,Mirtazapine,Self care,Multi vitamin,Social interactions,Covocort,Stretching,SAD Light Box,Deep rest,Norco,Nia Class,distraction,Sertraline,Sleep,Vitamin e,Hobbies,Cardio,Progressive muscle relaxation,row
,,,,,,,2.0,,,,0.0,,,0.0,,0.0,,,,0.0,,,,0.0,,gluten free diet
,,,,,,,,,,,,,,,,,,,,,,,,,,Same
,,,,,,,,,,,,,,,,,,,,,,,,,,Pepto-bismol
,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,Florinef
,,,,,,,,,2.0,,,0.0,,,0.0,,,,2.0,0.0,0.0,,0.0,,,Exercise
,,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,Vitamin d
,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,Farm
2.0,,,,,,,,,,,2.0,,,2.0,,2.0,,,,2.0,,,,2.0,,creative writing
,,,,,,,,,,,,,,,,,,,,,,,,,,Diclofenac
,,,,2.0,,,,,,,,2.0,,,2.0,,,,0.0,2.0,2.0,,2.0,,,Mirtazapine
,,,,,,,,,,,,,,,,,,,,,,,,,,Self care
0.0,,,,,,,2.0,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,Multi vitamin
,,,,0.0,,,,,2.0,,,,,,0.0,,,,2.0,0.0,0.0,,0.0,,,Social interactions
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Covocort
0.0,,,,,,,2.0,,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,Stretching
,,,,0.0,,,,,2.0,,,0.0,,,,,,,2.0,0.0,0.0,,0.0,,,SAD Light Box
0.0,,,,,,,2.0,,,,0.0,,,0.0,,,,,,0.0,,,,0.0,,Deep rest
,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,Norco
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Nia Class
,,,,2.0,,,,,0.0,,,2.0,,,2.0,,,,,2.0,2.0,,2.0,,,distraction
0.0,,,,0.0,,,2.0,,2.0,,0.0,0.0,,0.0,0.0,0.0,,,2.0,,0.0,,0.0,0.0,,Sertraline
,,,,0.0,,,,,2.0,,,0.0,,,0.0,,,,2.0,0.0,,,0.0,,,Sleep
,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,Vitamin e
,,,,0.0,,,,,2.0,,,0.0,,,0.0,,,,2.0,0.0,0.0,,,,,Hobbies
0.0,,,,,,,2.0,,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,Cardio
,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive muscle relaxation
