Dicyclomine,Tretinoin,Diazepam,Phyical Therapy - stretches,Osteopathy,Pantoprazole,Metformin,Cranberry extract,Fexofenadine,Relaxing,Clinda-derm,excedrin migraine,Achy breaky rub,Topical ibuprofen,Enada,Wore arch supports all day,Stretching,Progesterone,Vitamin B,Ropinirole,Tranexamic acid,5 or more portions of fruit and veg,cocodamol,Medication,Zomig,Montelukast,Meditation,Corticosteroids,Naproxen,row
,2.0,,2.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,2.0,2.0,0.0,,0.0,,Dicyclomine
2.0,,,0.0,2.0,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,,0.0,0.0,2.0,,2.0,,Tretinoin
,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,0.0,Diazepam
2.0,0.0,,,2.0,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,,0.0,0.0,2.0,,2.0,,Phyical Therapy - stretches
0.0,2.0,,2.0,,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,2.0,2.0,0.0,,0.0,,Osteopathy
2.0,0.0,,0.0,2.0,,0.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,,0.0,0.0,2.0,,2.0,,Pantoprazole
2.0,0.0,,0.0,2.0,0.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,,0.0,0.0,2.0,,2.0,,Metformin
,,0.0,,,,,,,,,,,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,0.0,Cranberry extract
0.0,2.0,,2.0,0.0,2.0,2.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,2.0,2.0,0.0,,0.0,,Fexofenadine
0.0,2.0,,2.0,0.0,2.0,2.0,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,2.0,2.0,0.0,,0.0,,Relaxing
0.0,2.0,,2.0,0.0,2.0,2.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,2.0,2.0,0.0,,0.0,,Clinda-derm
0.0,2.0,,2.0,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,2.0,2.0,0.0,,0.0,,excedrin migraine
0.0,2.0,,2.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,,2.0,2.0,0.0,,0.0,,Achy breaky rub
,,0.0,,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,0.0,Topical ibuprofen
0.0,2.0,,2.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,2.0,2.0,0.0,,0.0,,Enada
,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,,0.0,Wore arch supports all day
,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,0.0,,0.0,Stretching
0.0,2.0,,2.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,,2.0,2.0,0.0,,0.0,,Progesterone
0.0,2.0,,2.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,2.0,2.0,0.0,,0.0,,Vitamin B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ropinirole
0.0,2.0,,2.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,2.0,2.0,0.0,,0.0,,Tranexamic acid
,,0.0,,,,,0.0,,,,,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,,0.0,5 or more portions of fruit and veg
,,0.0,,,,,0.0,,,,,,0.0,,0.0,0.0,,,,,0.0,,,,,0.0,,0.0,cocodamol
2.0,0.0,,0.0,2.0,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,,,0.0,2.0,,2.0,,Medication
2.0,0.0,,0.0,2.0,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,,0.0,,2.0,,2.0,,Zomig
0.0,2.0,,2.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,2.0,2.0,,,0.0,,Montelukast
,,0.0,,,,,0.0,,,,,,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,Meditation
0.0,2.0,,2.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,2.0,2.0,0.0,,,,Corticosteroids
,,0.0,,,,,0.0,,,,,,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,Naproxen
