Caffeine,Cannabis,Vitamin D3,Low oxalate,Tylenol 3,gluten free,Wellbutrin,Aromatherapy,DEHA,Methylcobalamine,Trigger Points,Magnesium citrate,Snooze,Magnesium,Iron,Tavegyl,Calcium,rebounding,Iodine,Snacks,Sertraline,LUSH acne spot-treatment,Vitamin b12,Veggies,electric wheelchair,massage,row
,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,Caffeine
0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,Cannabis
,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,0.0,,0.0,,Vitamin D3
0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,Low oxalate
0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,Tylenol 3
0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,gluten free
,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,Wellbutrin
0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,Aromatherapy
0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,DEHA
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,Methylcobalamine
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,Trigger Points
,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,Magnesium citrate
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,Snooze
,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,Magnesium
,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,Iron
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,0.0,,0.0,Tavegyl
,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,Calcium
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,rebounding
,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,,Iodine
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,Snacks
,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,Sertraline
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,LUSH acne spot-treatment
0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,Vitamin b12
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,Veggies
,,0.0,,,,,,,,,0.0,,,,,0.0,,0.0,,,,0.0,,,,electric wheelchair
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,massage
