strong stomach aches afternoon,Kirkland Fish Oil,sauerkraut,sleep till late,eggs,good sleep,rice drink breakfast,bit stressful,fight late afternoon,Gui Pi Pills,Bu Zhong Yi Qi capsules,second stool 13h,row
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,strong stomach aches afternoon
,,,,,,,,,2.0,0.0,,Kirkland Fish Oil
0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,sauerkraut
0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,sleep till late
0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,eggs
0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,good sleep
0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,rice drink breakfast
0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,bit stressful
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,fight late afternoon
,2.0,,,,,,,,,2.0,,Gui Pi Pills
,0.0,,,,,,,,2.0,,,Bu Zhong Yi Qi capsules
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,second stool 13h
