hiking,Bed at 11,Albuterol Inhaler,Omeprazole,breakfast,ate breakfast,ate little,Wellbutrin,Benadryl,Ranitidine,Vitamin d,Calcium citrate,Vitamin C,Magnesium,Iron,Multivitamin,pancakes dinner,juiced,Turmeric,Cetirizine,Sertraline,Ibuprofen,Late lunch,masturbated,row
,0.0,,2.0,0.0,0.0,0.0,,,,,,,,,2.0,0.0,0.0,,,,,0.0,0.0,hiking
0.0,,,2.0,0.0,0.0,0.0,,,,,,,,,2.0,0.0,0.0,,,,,0.0,0.0,Bed at 11
,,,,,,,,0.0,2.0,0.0,0.0,2.0,,,,,,0.0,2.0,,,,,Albuterol Inhaler
2.0,2.0,,,2.0,2.0,2.0,,,,,,,,,0.0,2.0,2.0,,,,,2.0,2.0,Omeprazole
0.0,0.0,,2.0,,0.0,0.0,,,,,,,,,2.0,0.0,0.0,,,,,0.0,0.0,breakfast
0.0,0.0,,2.0,0.0,,0.0,,,,,,,,,2.0,0.0,0.0,,,,,0.0,0.0,ate breakfast
0.0,0.0,,2.0,0.0,0.0,,,,,,,,,,2.0,0.0,0.0,,,,,0.0,0.0,ate little
,,,,,,,,,,,,,2.0,2.0,,,,,,0.0,,,,Wellbutrin
,,0.0,,,,,,,2.0,0.0,0.0,2.0,,,,,,0.0,2.0,,,,,Benadryl
,,2.0,,,,,,2.0,,2.0,2.0,0.0,,,,,,2.0,0.0,,,,,Ranitidine
,,0.0,,,,,,0.0,2.0,,0.0,2.0,,,,,,0.0,2.0,,,,,Vitamin d
,,0.0,,,,,,0.0,2.0,0.0,,2.0,,,,,,0.0,2.0,,,,,Calcium citrate
,,2.0,,,,,,2.0,0.0,2.0,2.0,,,,,,,2.0,0.0,,,,,Vitamin C
,,,,,,,2.0,,,,,,,0.0,,,,,,2.0,,,,Magnesium
,,,,,,,2.0,,,,,,0.0,,,,,,,2.0,,,,Iron
2.0,2.0,,0.0,2.0,2.0,2.0,,,,,,,,,,2.0,2.0,,,,,2.0,2.0,Multivitamin
0.0,0.0,,2.0,0.0,0.0,0.0,,,,,,,,,2.0,,0.0,,,,,0.0,0.0,pancakes dinner
0.0,0.0,,2.0,0.0,0.0,0.0,,,,,,,,,2.0,0.0,,,,,,0.0,0.0,juiced
,,0.0,,,,,,0.0,2.0,0.0,0.0,2.0,,,,,,,2.0,,,,,Turmeric
,,2.0,,,,,,2.0,0.0,2.0,2.0,0.0,,,,,,2.0,,,,,,Cetirizine
,,,,,,,0.0,,,,,,2.0,2.0,,,,,,,,,,Sertraline
,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
0.0,0.0,,2.0,0.0,0.0,0.0,,,,,,,,,2.0,0.0,0.0,,,,,,0.0,Late lunch
0.0,0.0,,2.0,0.0,0.0,0.0,,,,,,,,,2.0,0.0,0.0,,,,,0.0,,masturbated
