Diazepam,Wore arch supports all day,Topical ibuprofen,Stretching,Cranberry extract,Human Growth Hormone,Naproxen,Midodrine,5 or more portions of fruit and veg,Meditation,cocodamol
,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0
0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0
,,,,,,,0.0,,,
0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
,,,,,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0
0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,
