didn't really eat lunch,danced,Albuterol Inhaler,fast food,breakfast,ate breakfast,gluten,busy,cooked breakfast,sugar,housework,dairy,slept late,banana,Benadryl,Ranitidine,Superlong nap,Calcium citrate,Vitamin C,listen to music ,pasta,worked,ate three meals,Heathen ritual,Turmeric,slept in,Cetirizine,exercised,didn't eat breakfast,studied,walked,spent day with others,Vitamin d,had sex,masturbated,low protein,row
,,,2.0,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,2.0,0.0,,,,,,0.0,,didn't really eat lunch
,,2.0,,,0.0,,,,,0.0,,,,2.0,2.0,,2.0,2.0,,0.0,0.0,,,2.0,,2.0,,,,,,2.0,,0.0,0.0,danced
,2.0,,,,2.0,,,,,2.0,,,,0.0,0.0,,0.0,0.0,,2.0,2.0,,,0.0,,0.0,,,,,,0.0,,2.0,2.0,Albuterol Inhaler
2.0,,,,2.0,2.0,,,2.0,,,,0.0,2.0,,,2.0,,,0.0,,,,,,,,0.0,2.0,2.0,,,,,2.0,,fast food
,,,2.0,,0.0,,,0.0,,,,,0.0,,,0.0,,,2.0,,,,,,,,,,0.0,,,,,,,breakfast
0.0,0.0,2.0,2.0,0.0,,,,0.0,,0.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,,2.0,,2.0,2.0,0.0,0.0,,,2.0,,0.0305797561364,0.0,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,busy
,,,2.0,0.0,0.0,,,,,,,,0.0,,,0.0,,,2.0,,,,,,,,,,0.0,,,,,,,cooked breakfast
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sugar
,0.0,2.0,,,0.0,,,,,,,,,2.0,2.0,,2.0,2.0,,0.0,0.0,,,2.0,,2.0,,,,,,2.0,,0.0,0.0,housework
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dairy
2.0,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,2.0,,slept late
,,,2.0,0.0,0.0,,,0.0,,,,,,,,0.0,,,2.0,,,,,,,,,,0.0,,,,,,,banana
,2.0,0.0,,,2.0,,,,,2.0,,,,,0.0,,0.0,0.0,,2.0,2.0,,,0.0,,0.0,,,,,,0.0,,2.0,2.0,Benadryl
,2.0,0.0,,,2.0,,,,,2.0,,,,0.0,,,0.0,0.0,,2.0,2.0,,,0.0,,0.0,,,,,,0.0,,2.0,2.0,Ranitidine
,,,2.0,0.0,0.0,,,0.0,,,,,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,Superlong nap
,2.0,0.0,,,2.0,,,,,2.0,,,,0.0,0.0,,,0.0,,2.0,2.0,,,0.0,,0.0,,,,,,0.0,,2.0,2.0,Calcium citrate
,2.0,0.0,,,2.0,,,,,2.0,,,,0.0,0.0,,0.0,,,2.0,2.0,,,0.0,,0.0,,,,,,0.0,,2.0,2.0,Vitamin C
,,,0.0,2.0,2.0,,,2.0,,,,,2.0,,,2.0,,,,,,,,,,,,,2.0,,,,,,,listen to music 
,0.0,2.0,,,0.0,,,,,0.0,,,,2.0,2.0,,2.0,2.0,,,0.0,,,2.0,,2.0,,,,,,2.0,,0.0,0.0,pasta
,0.0,2.0,,,0.0,,,,,0.0,,,,2.0,2.0,,2.0,2.0,,0.0,,,,2.0,,2.0,,,,,,2.0,,0.0,0.0,worked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate three meals
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,Heathen ritual
,2.0,0.0,,,2.0,,,,,2.0,,,,0.0,0.0,,0.0,0.0,,2.0,2.0,,,,,0.0,,,,,,0.0,,2.0,2.0,Turmeric
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,slept in
,2.0,0.0,,,2.0,,,,,2.0,,,,0.0,0.0,,0.0,0.0,,2.0,2.0,,,0.0,,,,,,,,0.0,,2.0,2.0,Cetirizine
2.0,,,0.0,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,exercised
0.0,,,2.0,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,didn't eat breakfast
,,,2.0,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,,2.0,,,,,,,,,,,,,,,,,studied
,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,walked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spent day with others
,2.0,0.0,,,2.0,,,,,2.0,,,,0.0,0.0,,0.0,0.0,,2.0,2.0,,,0.0,,0.0,,,,,,,,2.0,2.0,Vitamin d
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,had sex
0.0,0.0,2.0,2.0,,0.0305797561364,,,,,0.0,,2.0,,2.0,2.0,,2.0,2.0,,0.0,0.0,,,2.0,,2.0,2.0,0.0,,,,2.0,,,0.0,masturbated
,0.0,2.0,,,0.0,,,,,0.0,,,,2.0,2.0,,2.0,2.0,,0.0,0.0,,,2.0,,2.0,,,,,,2.0,,0.0,,low protein
