Humira,Bentyl,Prednisone,Neti Pot,Hemorrhoid Cream,Fish oil,MMJ,hydrocortisone suppository ,Flonase,Calcium citrate,Vitamin C,Iron,Vitamin d,Ocella,Triamcinolone Cream,row
,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Humira
,,,,,,0.0,,,0.0,,,0.0,,,Bentyl
0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Prednisone
0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Neti Pot
0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Hemorrhoid Cream
0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,Fish oil
,0.0,,,,,,,,0.0,,,0.0,,,MMJ
0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,hydrocortisone suppository 
0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,Flonase
,0.0,,,,,0.0,,,,,,0.0,,,Calcium citrate
0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,Vitamin C
0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,Iron
,0.0,,,,,0.0,,,0.0,,,,,,Vitamin d
0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,Ocella
0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,Triamcinolone Cream
