Codeine-Panadol,Valdoxan,Iron,Cod liver oil,IVIG,Vyvanse,Ventolin,Acetyl Carnitine,Lithium,Soluble Aspirin,Exercise,Aspirin,Nasonex,Forever Aloe Berry,Vitamin D3,Sea Bands,Prednisone,Creatine,Clonazepam,Zofran,Zantac,Synthroid,Buspirone,N-Acelcysteine,Psyllium husk,Athlete Vitamin,Mirtazapine,antihistamines,Valium,Social interactions,Excedrin,Antihistamine,Ligament Restore,Codeine,Coffee,SAD Light Box,Spironolactone,Vitamin B,Hobbies,Temazepam,Probiotics,Magnesium,Boswelia,Flutiform,Boswelia Complex,Panamax,distraction,Zoladex,Voltaren,Sertraline,Nortriptyline,Vitamin a,Sleep,Ibuprofen,Adderall XR,row
,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Codeine-Panadol
0.0,,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Valdoxan
0.0,0.0,,,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Iron
,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,Cod liver oil
,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,IVIG
0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Vyvanse
0.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Ventolin
2.0,2.0,2.0,,,2.0,2.0,,0.0,2.0,,2.0,2.0,,,,2.0,0.0,0.0,0.0,,,2.0,0.0,,2.0,,0.0,2.0,,,2.0,,2.0,,,2.0,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,,2.0,,Acetyl Carnitine
2.0,2.0,2.0,,,2.0,2.0,0.0,,2.0,,2.0,2.0,,,,2.0,0.0,0.0,0.0,,,2.0,0.0,,2.0,,0.0,2.0,,,2.0,,2.0,,,2.0,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,,2.0,,Lithium
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,,,0.0,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Soluble Aspirin
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,Exercise
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,,0.0,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Aspirin
0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,,0.0,,,,,0.0,2.0,2.0,2.0,,,0.0,2.0,,0.0,,2.0,0.0,,,0.0,,0.0,,,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,0.0,,Nasonex
,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forever Aloe Berry
