Charcoal,Probiotics,Prednisone,Contraceptive pill,Bicarb on scalp,Inolaxol,Sleep,Oxycodone,Omeprazole,Methotrexate,Low-FODMAP diet,Multi-vitamin,Inderal,Iberogast,row
,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,Charcoal
0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,Probiotics
,,,,,,,,,0.0,,,,,Prednisone
0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,Contraceptive pill
0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,Bicarb on scalp
0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,Inolaxol
,,,,,,,,,,,,,,Sleep
,,,,,,,,,,,,,,Oxycodone
0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,Omeprazole
,,0.0,,,,,,,,,,,,Methotrexate
0.0,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,Low-FODMAP diet
0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,Multi-vitamin
0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,Inderal
0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,Iberogast
