Zolpidem ER,Nasal spray,Flexeril,Mt. Si ACDC 2x Coco Caps,Contraceptive pill,Cefaly Unit,Tolterodine,Weighted Blanket,Selenium,Vitamin,Tylenol,Gravol,Tetralabs Gold Caps,Multi-vitamin,Esopram,Tetralabs Gold Caps CBN,row
,,,,,,,,,,,,,,,,Zolpidem ER
,,,,0.0,,,,2.0,,,,,0.0,,,Nasal spray
,,,0.0,,2.0,,2.0,,0.0,,,2.0,,2.0,2.0,Flexeril
,,0.0,,,2.0,,,,,,,2.0,,,2.0,Mt. Si ACDC 2x Coco Caps
,0.0,,,,,,,2.0,,,,,0.0,,,Contraceptive pill
,,2.0,2.0,,,,,,,,,0.0,,,0.0,Cefaly Unit
,,,,,,,,,,,,,,,,Tolterodine
,,2.0,,,,,,,2.0,,,,,0.0,,Weighted Blanket
,2.0,,,2.0,,,,,,,,,2.0,,,Selenium
,,0.0,,,,,2.0,,,,,,,2.0,,Vitamin
,,,,,,,,,,,2.0,,,,,Tylenol
,,,,,,,,,,2.0,,,,,,Gravol
,,2.0,2.0,,0.0,,,,,,,,,,0.0,Tetralabs Gold Caps
,0.0,,,0.0,,,,2.0,,,,,,,,Multi-vitamin
,,2.0,,,,,0.0,,2.0,,,,,,,Esopram
,,2.0,2.0,,0.0,,,,,,,0.0,,,,Tetralabs Gold Caps CBN
