hiking,physical therapy,Had candy,Didn't shower,Went to the store,Bed at 11,Light dinner,Omeprazole,Texted friend,breakfast,Went to a party,ate breakfast,Read comics,Diphenhydramine,caffeine,ate little,sugar,ice cream,Played Go fish,Quiet,skipped lunch,listen to music ,watermelon,ate dinner,Multivitamin,pancakes dinner,juiced,slept in,Slept a lot,Swept,asparagus,ate meat,stretching,walked,Had peach soda,Late lunch,masturbated,massage,Ate junk food,row
,,,,,0.0,,2.0,,0.0,,0.0,,,,0.0,,,,,,,0.0,,2.0,0.0,0.0,,,,0.0,,,,,0.0,0.0,,,hiking
,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,physical therapy
,,,2.0,0.0,,0.0,,2.0,,2.0,2.0,0.0,2.0,,,,,0.0,0.0,0.0,2.0,,2.0,,,,0.0,0.0,2.0,,2.0,,,0.0,,,,0.0,Had candy
,,2.0,,2.0,,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,0.0,,,,2.0,2.0,0.0,,0.0,,,2.0,,,,2.0,Didn't shower
,,0.0,2.0,,,0.0,,2.0,,2.0,2.0,0.0,2.0,,,,,0.0,0.0,0.0,2.0,,2.0,,,,0.0,0.0,2.0,,2.0,,,0.0,,,,0.0,Went to the store
0.0,,,,,,,2.0,,0.0,,0.0,,,,0.0,,,,,,,0.0,,2.0,0.0,0.0,,,,0.0,,,,,0.0,0.0,,,Bed at 11
,,0.0,2.0,0.0,,,,2.0,,2.0,2.0,0.0,2.0,,,,,0.0,0.0,0.0,2.0,,2.0,,,,0.0,0.0,2.0,,2.0,,,0.0,,,,0.0,Light dinner
2.0,,,,,2.0,,,,2.0,,2.0,,,,2.0,,,,,,,2.0,,0.0,2.0,2.0,,,,2.0,,,,,2.0,2.0,,,Omeprazole
,,2.0,0.0,2.0,,2.0,,,,0.0,0.0,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,0.0,,,,2.0,2.0,0.0,,0.0,,,2.0,,,,2.0,Texted friend
0.0,,,,,0.0,,2.0,,,,0.0,,,,0.0,,,,,,,0.0,,2.0,0.0,0.0,,,,0.0,,,,,0.0,0.0,,,breakfast
,,2.0,0.0,2.0,,2.0,,0.0,,,0.0,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,0.0,,,,2.0,2.0,0.0,,0.0,,,2.0,,,,2.0,Went to a party
0.0,,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,,,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,2.0,ate breakfast
,,0.0,2.0,0.0,,0.0,,2.0,,2.0,2.0,,2.0,,,,,0.0,0.0,0.0,2.0,,2.0,,,,0.0,0.0,2.0,,2.0,,,0.0,,,,0.0,Read comics
,,2.0,0.0,2.0,,2.0,,0.0,,0.0,0.0,2.0,,,,,,2.0,2.0,2.0,0.0,,0.0,,,,2.0,2.0,0.0,,0.0,,,2.0,,,,2.0,Diphenhydramine
,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,caffeine
0.0,,,,,0.0,,2.0,,0.0,,0.0,,,,,,,,,,,0.0,,2.0,0.0,0.0,,,,0.0,,,,,0.0,0.0,,,ate little
,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,sugar
,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,ice cream
,,0.0,2.0,0.0,,0.0,,2.0,,2.0,2.0,0.0,2.0,,,,,,0.0,0.0,2.0,,2.0,,,,0.0,0.0,2.0,,2.0,,,0.0,,,,0.0,Played Go fish
,,0.0,2.0,0.0,,0.0,,2.0,,2.0,2.0,0.0,2.0,,,,,0.0,,0.0,2.0,,2.0,,,,0.0,0.0,2.0,,2.0,,,0.0,,,,0.0,Quiet
,,0.0,2.0,0.0,,0.0,,2.0,,2.0,2.0,0.0,2.0,,,,,0.0,0.0,,2.0,,2.0,,,,0.0,0.0,2.0,,2.0,,,0.0,,,,0.0,skipped lunch
,,2.0,0.0,2.0,,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,,2.0,2.0,2.0,,,0.0,,,,2.0,2.0,0.0,,0.0,,,2.0,,,,2.0,listen to music 
0.0,,,,,0.0,,2.0,,0.0,,0.0,,,,0.0,,,,,,,,,2.0,0.0,0.0,,,,0.0,,,,,0.0,0.0,,,watermelon
,,2.0,0.0,2.0,,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,,,,,2.0,2.0,0.0,,0.0,,,2.0,,,,2.0,ate dinner
2.0,,,,,2.0,,0.0,,2.0,,2.0,,,,2.0,,,,,,,2.0,,,2.0,2.0,,,,2.0,,,,,2.0,2.0,,,Multivitamin
0.0,,,,,0.0,,2.0,,0.0,,0.0,,,,0.0,,,,,,,0.0,,2.0,,0.0,,,,0.0,,,,,0.0,0.0,,,pancakes dinner
0.0,,,,,0.0,,2.0,,0.0,,0.0,,,,0.0,,,,,,,0.0,,2.0,0.0,,,,,0.0,,,,,0.0,0.0,,,juiced
,,0.0,2.0,0.0,,0.0,,2.0,,2.0,2.0,0.0,2.0,,,,,0.0,0.0,0.0,2.0,,2.0,,,,,0.0,2.0,,2.0,,,0.0,,,,0.0,slept in
,,0.0,2.0,0.0,,0.0,,2.0,,2.0,2.0,0.0,2.0,,,,,0.0,0.0,0.0,2.0,,2.0,,,,0.0,,2.0,,2.0,,,0.0,,,,0.0,Slept a lot
,,2.0,0.0,2.0,,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,0.0,,,,2.0,2.0,,,0.0,,,2.0,,,,2.0,Swept
0.0,,,,,0.0,,2.0,,0.0,,0.0,,,,0.0,,,,,,,0.0,,2.0,0.0,0.0,,,,,,,,,0.0,0.0,,,asparagus
,,2.0,0.0,2.0,,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,0.0,,,,2.0,2.0,0.0,,,,,2.0,,,,2.0,ate meat
,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,stretching
,0.0,,,,,,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,0.0,,walked
,,0.0,2.0,0.0,,0.0,,2.0,,2.0,2.0,0.0,2.0,,,,,0.0,0.0,0.0,2.0,,2.0,,,,0.0,0.0,2.0,,2.0,,,,,,,0.0,Had peach soda
0.0,,,,,0.0,,2.0,,0.0,,0.0,,,,0.0,,,,,,,0.0,,2.0,0.0,0.0,,,,0.0,,,,,,0.0,,,Late lunch
0.0,,,,,0.0,,2.0,,0.0,,0.0,,,,0.0,,,,,,,0.0,,2.0,0.0,0.0,,,,0.0,,,,,0.0,,,,masturbated
,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,massage
,,0.0,2.0,0.0,,0.0,,2.0,,2.0,2.0,0.0,2.0,,,,,0.0,0.0,0.0,2.0,,2.0,,,,0.0,0.0,2.0,,2.0,,,0.0,,,,,Ate junk food
