Ambien CR,walked around town,tumeric extract,milk,Aspirin,dairy,Netflix day,Vitamin b complex,cuddled kitten,therapy session,ate badly,Cat,did some homework,THC,Cambia,Swimming,Allegra,Goth clubbing,home alone,Fish oil,Chocolate after 6pm,Rest,Post-op ice device,Lexapro,bacon,slept 7 hours,Ice pack,Claritin,Strattera,Zofran,Hydroxyzine,Synthroid,12 hours sleep,meds,exercise,Slept well,over ate,Vitamin C,listen to music ,Melatonin,slept 11 hours,ate well,Klonopin,severe pain,CBD,flaxseed and fybogel,Vitamin b12,bed late,Vitamin d,popcorn,massage,Diazepam,hiking,physical therapy,L-methylfolate,Writing,8.5 hours sleep,Acupuncture,9 hours sleep,sugar free diet,went swimming,Gabapentin,CoQ10,social gathering,depo-provera shot,shopping,gluten,medium sleep,crafting,8.75 hours sleep,Glucosamine,Multivitamin,spice,heavy lifting,relaxed day,stool softener,Allergy Shots,Zinc,Ibuprofen,Meditation,10.5 hours sleep,Alcohol,allergy shot,slept 8 hours!,sushi,small breakfast,Sunlight,birth control,Magnesium glycinate,5-htp,Nasonex,yoga,travel,eye ointment,spicy meal,housework,rice noodles,Exercise--walking,8 hours sleep,elliptical,siracha,Famotidine,cream,Cat ,laundry,strapping of shoulder,Astelin,Daytime nap,mass transit,heating pads,Norco,slept in chair,Keppra,Singulair,Singing,Pristiq,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambien CR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,walked around town
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tumeric extract
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,milk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aspirin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dairy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netflix day
,,,,,,,,,,,,-1.0,,,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,-1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,-1.0,,,1.0,,,,,1.0,,,,,,,1.0,,,Vitamin b complex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuddled kitten
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,therapy session
