Wear shoulder brace,Standing desk,Lying flat,More stretching,Ecural,Sunlight,Protecting back,Ambien CR,Miralax low dose at night,Magnesium glycinate,Magnesium gel,5-htp,Nasonex,Claritin,Lithium,Strattera,Creatine,Clonazepam,Zofran,Hydroxyzine,Synthroid,gluten free,dairy free,Famotidine,Vitamin b complex,Oxynorm,Ranitidine,Probiotic,Astelin,Vitamin C,Physiotherapy,heating pads,linseed,Norco,THC,Melatonin,Prednisone,Allegra,Klonopin,Freezie wrap,Singulair,Fish oil,Vitamin b12,Post-op ice device,Zinc,Vitamin d,Nortriptyline,cocodamol,Mezavant,drawing,row
,,0.0,0.0,,,0.0,0.0,2.0,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,Wear shoulder brace
,,,,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,2.0,0.0,,0.0,,Standing desk
0.0,,,0.0,,,0.0,0.0,2.0,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,Lying flat
0.0,,0.0,,,,0.0,0.0,2.0,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,More stretching
,0.0,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,2.0,0.0,,0.0,,Ecural
,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Sunlight
0.0,,0.0,0.0,,,,0.0,2.0,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,Protecting back
0.0,,0.0,0.0,,,0.0,,2.0,,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,Ambien CR
2.0,,2.0,2.0,,,2.0,2.0,,,,,,,,,,,2.0,2.0,,2.0,2.0,,,2.0,,,,,,2.0,,2.0,,,,,,2.0,,,,,,,,2.0,,2.0,Miralax low dose at night
,,,,,0.0,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Magnesium glycinate
