Triamcinolone Lotion,Home physio exercises,Iron,Hemorrhoid Cream,Prilosec,Osteopathy,Pantoprazole,aqua therapy,Inflamma-blox,Metformin,Prednisone,Citalopram,Flonase,Sauna,Physio,Topiramate,ponstan,Paracatamol with codeine,Humira,Ranitidine,Progesterone,Vitamin C,Vitamin B,Migraine herb feverfew tablets,Magnesium,Tranexamic acid,Gabapentin,Triamcinolone Cream,psychologist,Methotrexate,Multi-vitamin,Imodium,row
,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,,,,,0.0,,,,,Triamcinolone Lotion
,,,,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,0.0,,0.0,,Home physio exercises
0.0,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,,,,,0.0,,,,,Iron
0.0,,0.0,,,,,,0.0,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,,,,,0.0,,,,,Hemorrhoid Cream
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prilosec
,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,0.0,,0.0,,Osteopathy
,0.0,,,,0.0,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,0.0,,0.0,,Pantoprazole
,0.0,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,0.0,,0.0,,aqua therapy
0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,,,,,0.0,,,,,Inflamma-blox
,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,0.0,,0.0,,Metformin
0.0,,0.0,0.0,,,,,0.0,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,0.0,,,,,Prednisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citalopram
0.0,,0.0,0.0,,,,,0.0,,0.0,,,0.0,,,,,0.0,,,0.0,,,,,,0.0,,,,,Flonase
0.0,,0.0,0.0,,,,,0.0,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,,,Sauna
,0.0,,,,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,0.0,,0.0,,Physio
,0.0,,,,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,0.0,,0.0,,Topiramate
,0.0,,,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,0.0,,0.0,,ponstan
,0.0,,,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,,,0.0,,0.0,2.0,0.0,0.0,,,0.0,,0.0,,Paracatamol with codeine
0.0,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,,,,Humira
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranitidine
,0.0,,,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,2.0,0.0,0.0,,,0.0,,0.0,,Progesterone
0.0,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,,0.0,,,,,,,,,0.0,,,,,Vitamin C
,0.0,,,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,,,0.0,,0.0,,Vitamin B
,2.0,,,,2.0,2.0,2.0,,2.0,,,,,2.0,2.0,2.0,2.0,,,2.0,,2.0,,2.0,2.0,,,2.0,,2.0,,Migraine herb feverfew tablets
,0.0,,,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,,0.0,,,0.0,,0.0,,Magnesium
,0.0,,,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,0.0,,,,0.0,,0.0,,Tranexamic acid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabapentin
0.0,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,,,Triamcinolone Cream
,0.0,,,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,,,0.0,,psychologist
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methotrexate
,0.0,,,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,2.0,0.0,0.0,,,0.0,,,,Multi-vitamin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imodium
