Valdoxan,Cod liver oil,IVIG,Vyvanse,floravit iron,Voltaren,Eyebright Complex,Lithium,Magnesium gel,pur-absorb iron,Vitamin d,Nasonex,Coffee,Vitamin D3,Pataday,Creatine,Clonazepam,Zofran,gluten free diet,Ecural,Synthroid,Soluble Aspirin,Buspirone,DLPA,Psyllium husk,Zantac,creative writing,Valium,Multi vitamin,linseed,Ligament Restore,Ranitidine,Probiotic,Ventolin,Stretching,Codeine,Progesterone,Spironolactone,Deep rest,Physiotherapy,Tian Ma Tou Tong - headache,Magnesium,Iron,Multivitamin,Ondansetron,Panamax,Mirtazapine,Zoladex,Migraine Diet,Mezavant,Pain management,Vitamin B,Sertraline,Fish oil,Vitamin B complex - 50,Ginger,Wei Te Ling - heartburn,anti-nausea pills,Vitamin a,Standing desk,Ibuprofen,Cardio,Nortriptyline,Prednisone,row
,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,,Valdoxan
,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cod liver oil
,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IVIG
0.0,,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,,Vyvanse
0.0,,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,,floravit iron
0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,,Voltaren
0.0,,,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,,Eyebright Complex
2.0,,,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,,2.0,0.0,2.0,,0.0,,Lithium
2.0,,,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,,2.0,0.0,2.0,,0.0,,Magnesium gel
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,,pur-absorb iron
