Home physio exercises,Yoga,Imodium,Low dose pain meds,gluten free diet,physical therapy,Fluvoxamine,Prilosec,Selenium,Osteopathy,Low Dose Naltrexone,Medications,Burbur-Pinella,Vicodin,aqua therapy,Amitriptyline,Metformin,Exercise,Tyrosine,0.9% Sodium Chloride Solution 1L,Prednisone,Citalopram,Methylphenidate,Chiropractic,Lavender oil,Ginkgo,Physio,Topiramate,Dermatologist,ponstan,counselor,psychiatrists,Magnesium malate,Green Vibrance,Paracatamol with codeine,Ranitidine,Epsom Salts,Cefaly Unit,Vitamin d,Progesterone,Vitamin B,Migraine herb feverfew tablets,Magnesium,Tranexamic acid,neuro,catheter,Gaba,Maxalt,Walking,Medication,Midodrine,Ropinirole,Voltaren,CuraMed,Zomig,psychologist,N-acetyl cysteine,Lidocaine Patch,Coenzyme q-10,Plaquenil,Ibuprofen,Methotrexate,Multi-vitamin,Inositol,massage,Pantoprazole,row
,,0.0,,,,,2.0,,2.0,,,,,0.0,,2.0,,,,,2.0,,,,,2.0,2.0,,2.0,,,,,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,2.0,,,,,,,2.0,,,2.0,Home physio exercises
,,,,,2.0,,,,,,2.0,,2.0,,,,0.0,,,2.0,,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.0,0.0,,,,,,0.0,,,2.0,0.0,0.0,,,,,,,,0.0,0.0,,2.0,,,,0.0,,Yoga
0.0,,,,,,,2.0,,2.0,,,,,0.0,,2.0,,,,,2.0,,,,,2.0,2.0,,2.0,,,,,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,2.0,,,,,,,2.0,,,2.0,Imodium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low dose pain meds
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten free diet
,2.0,,,,,,,,,,0.0,,,,,,2.0,,,,,,2.0,,,,,2.0,,2.0,2.0,,,,,,,2.0,,,,,,2.0,,,,2.0,2.0,,,,,,,,,2.0,,,,,,,,physical therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluvoxamine
2.0,,2.0,,,,,,,0.0,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,Prilosec
,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,0.0,,,Selenium
2.0,,2.0,,,,,0.0,,,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,Osteopathy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Dose Naltrexone
,2.0,,,,0.0,,,,,,,,,,,,2.0,,,,,,2.0,,,,,2.0,,2.0,2.0,,,,,,,2.0,,,,,,2.0,,,,2.0,2.0,,,,,,,,,2.0,,,,,,,,Medications
,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,0.0,,,Burbur-Pinella
,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,2.0,,,0.0,,,,2.0,,Vicodin
0.0,,0.0,,,,,2.0,,2.0,,,,,,,2.0,,,,,2.0,,,,,2.0,2.0,,2.0,,,,,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,2.0,,,,,,,2.0,,,2.0,aqua therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amitriptyline
2.0,,2.0,,,,,0.0,,0.0,,,,,2.0,,,,,,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,Metformin
,0.0,,,,2.0,,,,,,2.0,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,Exercise
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrosine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.9% Sodium Chloride Solution 1L
,2.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,2.0,,,0.0,,,,2.0,,Prednisone
2.0,,2.0,,,,,0.0,,0.0,,,,,2.0,,0.0,,,,,,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,Citalopram
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methylphenidate
,0.0,,,,2.0,,,,,,2.0,,,,,,0.0,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,Chiropractic
,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,0.0,,,Lavender oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ginkgo
2.0,,2.0,,,,,0.0,,0.0,,,,,2.0,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,Physio
2.0,,2.0,,,,,0.0,,0.0,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,Topiramate
,0.0,,,,2.0,,,,,,2.0,,,,,,0.0,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,Dermatologist
2.0,,2.0,,,,,0.0,,0.0,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,ponstan
,0.0,,,,2.0,,,,,,2.0,,,,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,counselor
,0.0,,,,2.0,,,,,,2.0,,,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,psychiatrists
,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,0.0,,,Magnesium malate
,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,0.0,,,Green Vibrance
2.0,,2.0,,,,,0.0,,0.0,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,Paracatamol with codeine
2.0,,2.0,,,,,0.0,,0.0,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,Ranitidine
,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,0.0,,,Epsom Salts
,2.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,0.0,,,,2.0,,Cefaly Unit
,0.0,,,,2.0,,,,,,2.0,,,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,Vitamin d
2.0,,2.0,,,,,0.0,,0.0,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,Progesterone
2.0,,2.0,,,,,0.0,,0.0,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,Vitamin B
2.0,,2.0,,,,,0.0,,0.0,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,Migraine herb feverfew tablets
2.0,,2.0,,,,,0.0,,0.0,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,Magnesium
2.0,,2.0,,,,,0.0,,0.0,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,Tranexamic acid
,0.0,,,,2.0,,,,,,2.0,,,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,neuro
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catheter
,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,Gaba
,2.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,2.0,,Maxalt
,0.0,,,,2.0,,,,,,2.0,,,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,Walking
,0.0,,,,2.0,,,,,,2.0,,,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,Medication
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midodrine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ropinirole
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voltaren
,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,CuraMed
2.0,,2.0,,,,,0.0,,0.0,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,Zomig
2.0,,2.0,,,,,0.0,,0.0,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,psychologist
,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,N-acetyl cysteine
,0.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,0.0,,Lidocaine Patch
,0.0,,,,2.0,,,,,,2.0,,,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,Coenzyme q-10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plaquenil
,2.0,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,,,2.0,,Ibuprofen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methotrexate
2.0,,2.0,,,,,0.0,,0.0,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,Multi-vitamin
,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,Inositol
,0.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,0.0,,,2.0,,,,,,massage
2.0,,2.0,,,,,0.0,,0.0,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,Pantoprazole
