church,Ligament Restore,crawled,home alone,Cod liver oil,Excedrin,IVIG,Acetaminophen,Church,Ate poorly,cake,Vitamin D3,exercise,Ibuprofen,Zantac,Psyllium husk,cocodamol,Daytime nap,pasta and veggies,ate breakfast,row
,,0.0,,,,,,2.0,0.0,,,,0.0,,,2.0,0.0,,,church
,,,,,,,,,,,,,,,,,,,,Ligament Restore
0.0,,,,,,,,2.0,0.0,,,,0.0,,,2.0,0.0,,,crawled
,,,,,,,,,,,,,,,,,,,,home alone
,,,,,2.0,,,,,,0.0,,,0.0,0.0,,,,,Cod liver oil
,,,,2.0,,,,,,,2.0,,,2.0,2.0,,,,,Excedrin
,,,,,,,,,,,,,,,,,,,,IVIG
,,,,,,,,,,,,2.0,,,,,,,2.0,Acetaminophen
2.0,,2.0,,,,,,,2.0,,,,2.0,,,0.0,2.0,,,Church
0.0,,0.0,,,,,,2.0,,,,,0.0,,,2.0,0.0,,,Ate poorly
,,,,,,,,,,,,,,,,,,,,cake
,,,,0.0,2.0,,,,,,,,,0.0,0.0,,,,,Vitamin D3
,,,,,,,2.0,,,,,,,,,,,,0.0,exercise
0.0,,0.0,,,,,,2.0,0.0,,,,,,,2.0,0.0,,,Ibuprofen
,,,,0.0,2.0,,,,,,0.0,,,,0.0,,,,,Zantac
,,,,0.0,2.0,,,,,,0.0,,,0.0,,,,,,Psyllium husk
2.0,,2.0,,,,,,0.0,2.0,,,,2.0,,,,2.0,,,cocodamol
0.0,,0.0,,,,,,2.0,0.0,,,,0.0,,,2.0,,,,Daytime nap
,,,,,,,,,,,,,,,,,,,,pasta and veggies
,,,,,,,2.0,,,,,0.0,,,,,,,,ate breakfast
