Numbness on legs,1
night panic,1
Difficulty Communicating,2
appetite,10
Jaundice,2
Unwanted Thoughts,8
Lungs,1
dumb stomach ache,2
Snot Drainage,1
Incontinence  urine,1
Word confusion,14
Cold intolerance,6
Beau's lines,1
Vesicle on right hand,2
burning sensation ,7
pride,2
Pre-menstrual pain,6
blood sugar crash,2
Increase in falls,1
mania,16
Frustrating Parenting,1
Chills,14
Sensitivity to touch,1
Dizzines,1
Fistula,4
Swollen glands,10
hot joints,4
Unhelpful sleep,2
Anhedonia,99
Sore throat,49
Urinary incontenence,1
Fibro Pain Legs,1
anxiety attacks,1
Rash,37
Swollen eye lids,1
Sniffles,1
Avoidance,2
Pain in abdomen (left side),1
high antibodies,1
Flu like,4
e - floating,2
Crack at left mouth commissure,2
sinus headache,1
Sleep procrastination,1
Loose bowels,1
Bronchitis,4
Sun burn,1
Vein Pain,2
Right knee pain,16
Shoulder stiffness,2
stressed,561
Ovary/Uterus pain,1
weeping angels,2
Tingling all over,1
itching face,25
Picking at skin,1
tingling legs,1
took it easy,2
Sjogren's,1
e - travels,3
Mental fatigue,43
Upper back pain,29
Mental fatigue (fog),1
left shoulder pain,3
Eye twitch,14
Clumsiness right hand,1
Anal soreness,1
Swollen Fingers,6
Itching skin,1
Bladder failure,1
Bingeing,1
Glute pain,2
death cramps,2
Ovary Pain,1
Overall Mood,2
Post B Spasms,1
Joint Pain and Stiffness,2
Lack of emotional expression,1
Allergies,89
Excessive Daytime Sleepiness,6
binge urge,1
Shoulder pain,131
Emotional Instability,1
low energy,39
Sinusitis/allergies,1
Muscle pain arms,3
aching,2
Tingling in hands and feet,19
Fibro fog,6
Hip stiffness,3
Stomach ache,1
breathlessness,2
Clogged ears,2
Earache,7
Tingling hands,14
e - alice in wonderland,2
tender ribs,1
over,1
Early Satiety,4
Outbreak,3
Nervousness,3
Tight upper back,1
Painful breathing,2
Inattention,19
Pharyngitis,2
Sound sensitivity,4
Vomiting,66
Sads,8
Skin aching,1
muscle spasms in low back,1
Touch sensitivity,1
Trouble waking up,1
sleepiness,61
Swollen joints,13
Numbness in hands,1
Vulvodynia,8
Mobility,2
under eye skin rash,5
Dizzy,5
Mouth ulcers,1
Supraventricular Tachycardia,2
Seton Drain,1
Humor,3
Choking,2
Paranoia,18
Afternoon fatigue,1
Phobias,3
clicky hips,1
Migraine Auras,1
Hallucinations,11
SI Joint Pain,4
swallowing difficulty,3
Sleep Length,13
Post-scratch Hives,2
Sharp stabbing pain in my head,1
body temperature,1
Crohns,17
Costochondritis,21
nutrient deficiency,1
Shoulder tingling,1
Overwhelmed/anxious,1
Dark urine,2
e - cotton body,4
Bladder pain,5
Stomach Pain Bloating Gas or Nausea,1
Unsettled intestines,1
Flare (Part of Day),1
Skin sensitive to touch,3
costcochondritis,1
Acanthosis Nigricans,2
Respiratory symptoms,3
micro fever,1
asthma attacks,1
Redness across face,2
Itch,8
Sore breasts,4
Pain - Shoulder,1
Fibro pain in legs,1
Lack of energy,6
Heart Pain,2
emotional sensitivity,1
Rapid Pulse,1
Shortness of breath,101
Burning eyes,1
Dislocated Rib Pain,1
Limb pain,2
bloated,7
sinus pain,13
Sore nose thing,2
Disorganized Behavior,3
Limping,6
ganglions post exertion,1
Fluctuating mood,10
Slept Poorly,1
Tingling fingers,2
Teeth Clenching,1
Dry Hands,3
Overactive bladder,11
Migralepsy,10
Hand weakness,1
Metallic taste in the mouth,4
Bowels: constipated,1
Nausea,362
excess catarrh,1
Operative-left-shoulder pain,4
Poor concentration,1
Tenderness,1
Achiness,13
Feel feverish,4
easy to anger,3
urgency,1
Upset stomach,10
other abdominal pain,2
Unable to Leave the House/fear,1
Right Elbow ,2
Delusions,4
Poor immune response,2
Tachycardia,52
Brain fog,251
acne,31
Ants on knees,2
belching,2
Energy Level,2
Anxiety,589
clumsiness,7
Nausea after exertion,1
DOMS,4
Bumps on skin,4
over sleeping,1
Sleep Quality,8
Short Term Memory,3
cataplexy,13
Stabbing,3
high blood pressure,14
Tension,3
Sensivity-Skin,12
Blood Shunting,1
Fluctuating Weight,2
Insomnia,221
back pain stomach cramps,1
Cough,31
Anal leakage,1
Forearm Tendon Pain,2
nightmares,19
Labile mood,5
Hypnopompic hallucinations,1
Tailbone Pain,1
Vaginal pain,4
Focus,13
Weight loss,23
Muscle fatigue,1
Sore - Left Big Toe Joint,2
Pain during sex,3
Itchy ears,1
Pressure Pain,2
Eye pain,37
hyperfocus,4
Absence of speech,5
