raining,5
headaches after eating,2
Feeling overwhelmed,1
Sugar,3
babcia,2
dehydrated,8
Massive stomach event,2
Visitors,1
Netflix day,6
Dr. Wu,1
work + times square,6
no air conditioning,2
Aquatherapy,1
Moodswings,1
Missed Nabilone,2
Dance audition,1
Period start,2
couldnt focus,2
design project,2
tired all day,1
ending the day with a bit of dizziness,2
tired,846
bed day,9
snuggles,2
bacon,4
Shocked,1
brexit,1
grocery shopping,7
cooking,4
Bit of an ordeal sunday,1
Bought boots,1
got vitamins,3
Ate ok,1
apple -cooked,2
Off work,9
dinner with kate,2
Sore feet,1
Sore lymph,1
day after pridefest,1
Narvik,2
kids,3
Woke up feeling like I got hit by a bus,1
cried a lot,2
everything hurts,1
fun shopping,2
new environment,16
Dried the dog,1
stayed awake too long,2
blood pressure low too ~106 over 65,2
chow mein,2
day after weights,3
Remicade Maintenence,2
did not sleep alone,1
Mexican food,1
symphony,1
music,3
bad headache,4
catered food,2
paperwork,1
Yarmouth,1
PM fatigue,1
and today Kate and Josh came over,2
grumpy no reason,3
rice cereal,1
Overdid it yesterday,1
I couldn't control my emotions,1
Discouraged about shoulder,1
Felt hungover,1
one drink,1
pooped,3
Went to the store,3
green beans,2
stuck to diet,1
found out my leave of absence got rejected,2
travel,32
ptsd flare,3
hot,13
bed late,2
8 hours sleep,3
gaming,2
couldn't focus on homework,2
beauty,1
short temper,1
tried to exercise - wore me out for the rest of the day,1
Braced night before,1
dinner out,4
Dr Pepper,2
napped a little bit on transport,2
Headache on waking,1
better day,3
Norwich,1
cigarettes,3
Lowly,1
coconut flakes,2
patient advocacy,2
small fight with mother,2
Clear brain,2
backpack,1
busy at work,9
sore upper back,4
low blood sugar,1
normal sleep,3
pronounced fatigue,2
bit grumpy,1
Happy about GI stable,1
jetlag,3
storm coming,3
sore throat,13
Last day of camping!,2
social media stress,1
migraine early in day,2
2pm tight sore shoulder,2
memory issues,4
Paranoid,1
rA,1
rB,1
no excerise,3
laboratory,1
IBD issues,1
went to PT,1
training sucked,2
Somewhat productive,1
Romiley probs,1
Work,15
Overnight stay at DHMC,2
grapes,3
Was a good day,1
Egg,2
up late,6
Didn't do anything,2
Very low appetite,1
coming down with cold,2
Morning exhaustion,1
No thyroid meds,1
shopped,5
sore hip,3
chilly rainy day,2
slept a long time yesterday,2
Cornwall day,2
binge eating,3
rocky horror,2
coursera,2
scary new shit,3
took cold medicine,3
Sneaky high pain day,2
headache - 4 hrs,2
not good sleep,1
Odd work day,1
shower,6
very anxious,2
aftereffects,2
whole30,2
sat outside,6
boston,2
evening pills 2-3 hours late,2
dozed,2
Showered,10
Started Birth Control,1
troy's birthday,2
siracha,2
Phone calls,1
large breakfast,3
too much activity ,2
Humidity,2
went to bed too late,2
which was cool,2
sat in sun a few minutes,1
day chocolate,2
walked two miles previous day,2
Sweats,1
effy,2
Upset stomach,10
Horrible anxiety,1
post diy,1
Ate more than yesterday,1
plus a little costochondritis ish pain,1
Went to a party,2
nice day,2
energy burst,3
busy,41
Mother's Day,1
Excited about weekend,1
Melting into the floor,2
rice,2
Lunch with Babcia,1
very tingly feet and hands,2
GR ,3
ate gluten,12
sat up more than an hour,1
feeling sad,5
Walked dog,1
large pastry,2
lazy day,3
saw cardiologist,1
slept all night,1
claire sophia declan kate and hamish came over,2
sore lower back,3
trouble falling asleep,2
Day of Rest,11
Read stories,1
cervical instability,1
Anxious about work,3
12.5 hours of sleep,1
Got up easily,2
Afternoon nap,1
snack lunch,2
memories of Dorian,2
bleh,2
